CGC_main says, Iterating through fileSet...
CGC_main says, Sorting gene calls for each caller...
CGC_main says, Comparing accross the call sets....
CGC_main says, Merging the gene call sets....
CGC_main says, Comparing across gene call sets....
CGC_main says, Scoring gene calls....
CGC_main says, Identifying gene calls in common...
CGC_main says, printing GFF formatted gene-call file....
CGC_main says, printing report....

GENE-CALL TABLE:

number	caller	strand	leftEnd	rightEnd	length	contig	caller	strand	leftEnd	rightEnd	length	contig	caller	strand	leftEnd	rightEnd	length	contig	
1							phanotate	-	2	142	141	contig_2011	prodigal	-	2	142	141	contig_2011	
2	glimmer	-	142	624	483	contig_2011	phanotate	-	142	624	483	contig_2011	prodigal	-	142	624	483	contig_2011	
3													prodigal	-	621	830	210	contig_2011	
4	glimmer	-	621	854	234	contig_2011	phanotate	-	621	854	234	contig_2011							
5							phanotate	-	882	1226	345	contig_2011	prodigal	-	882	1226	345	contig_2011	
6	glimmer	-	882	1253	372	contig_2011													
7	glimmer	-	1216	1617	402	contig_2011	phanotate	-	1216	1617	402	contig_2011	prodigal	-	1216	1617	402	contig_2011	
8	glimmer	-	1620	3800	2181	contig_2011	phanotate	-	1620	3800	2181	contig_2011	prodigal	-	1620	3800	2181	contig_2011	
9							phanotate	-	3794	3979	186	contig_2011							
10	glimmer	+	3960	5597	1638	contig_2011							prodigal	+	3960	5597	1638	contig_2011	
11							phanotate	+	3987	5597	1611	contig_2011							
12	glimmer	-	5563	7332	1770	contig_2011	phanotate	-	5563	7332	1770	contig_2011	prodigal	-	5563	7332	1770	contig_2011	
13	glimmer	+	7460	9547	2088	contig_2011													
14							phanotate	+	7514	9547	2034	contig_2011	prodigal	+	7514	9547	2034	contig_2011	
15	glimmer	+	9550	9951	402	contig_2011	phanotate	+	9550	9951	402	contig_2011	prodigal	+	9550	9951	402	contig_2011	
16	glimmer	+	9914	10546	633	contig_2011													
17							phanotate	+	9941	10546	606	contig_2011	prodigal	+	9941	10546	606	contig_2011	
18	glimmer	+	10543	11025	483	contig_2011	phanotate	+	10543	11025	483	contig_2011	prodigal	+	10543	11025	483	contig_2011	
19	glimmer	+	11025	11210	186	contig_2011	phanotate	+	11025	11210	186	contig_2011	prodigal	+	11025	11210	186	contig_2011	
20	glimmer	-	11183	11380	198	contig_2011	phanotate	-	11183	11380	198	contig_2011	prodigal	-	11183	11380	198	contig_2011	
21							phanotate	-	11480	11989	510	contig_2011	prodigal	-	11480	11989	510	contig_2011	
22	glimmer	-	11480	11998	519	contig_2011													
23	glimmer	-	12000	12212	213	contig_2011	phanotate	-	12000	12212	213	contig_2011	prodigal	-	12000	12212	213	contig_2011	
24							phanotate	-	12209	12400	192	contig_2011							
25	glimmer	+	12260	12607	348	contig_2011													
26							phanotate	-	12474	12698	225	contig_2011							
27	glimmer	-	12794	13156	363	contig_2011	phanotate	-	12794	13156	363	contig_2011	prodigal	-	12794	13156	363	contig_2011	
28	glimmer	-	13135	13383	249	contig_2011	phanotate	-	13135	13383	249	contig_2011	prodigal	-	13135	13383	249	contig_2011	
29							phanotate	-	13483	13992	510	contig_2011	prodigal	-	13483	13992	510	contig_2011	
30	glimmer	-	13483	14001	519	contig_2011													
31	glimmer	-	14003	14215	213	contig_2011	phanotate	-	14003	14215	213	contig_2011	prodigal	-	14003	14215	213	contig_2011	
32							phanotate	-	14212	14403	192	contig_2011							
33	glimmer	+	14263	14610	348	contig_2011													
34							phanotate	-	14477	14701	225	contig_2011							
35	glimmer	-	14797	14949	153	contig_2011	phanotate	-	14797	14949	153	contig_2011	prodigal	-	14797	14949	153	contig_2011	
36	glimmer	+	15015	15167	153	contig_2011	phanotate	+	15015	15167	153	contig_2011	prodigal	+	15015	15167	153	contig_2011	
37							phanotate	+	15263	15487	225	contig_2011							
38	glimmer	-	15354	15701	348	contig_2011													
39							phanotate	+	15561	15752	192	contig_2011							
40	glimmer	+	15749	15961	213	contig_2011	phanotate	+	15749	15961	213	contig_2011	prodigal	+	15749	15961	213	contig_2011	
41	glimmer	+	15963	16481	519	contig_2011													
42							phanotate	+	15972	16481	510	contig_2011	prodigal	+	15972	16481	510	contig_2011	
43	glimmer	+	16581	17084	504	contig_2011	phanotate	+	16581	17084	504	contig_2011	prodigal	+	16581	17084	504	contig_2011	
44	glimmer	+	17074	18204	1131	contig_2011	phanotate	+	17074	18204	1131	contig_2011	prodigal	+	17074	18204	1131	contig_2011	
45	glimmer	+	18207	18773	567	contig_2011	phanotate	+	18207	18773	567	contig_2011	prodigal	+	18207	18773	567	contig_2011	
46	glimmer	+	18773	19177	405	contig_2011	phanotate	+	18773	19177	405	contig_2011	prodigal	+	18773	19177	405	contig_2011	
47													prodigal	-	19028	19432	405	contig_2011	
48							phanotate	+	19276	19392	117	contig_2011							
49	glimmer	-	19432	19998	567	contig_2011	phanotate	-	19432	19998	567	contig_2011	prodigal	-	19432	19998	567	contig_2011	
50	glimmer	-	20001	21131	1131	contig_2011	phanotate	-	20001	21131	1131	contig_2011	prodigal	-	20001	21131	1131	contig_2011	
51	glimmer	-	21121	21675	555	contig_2011	phanotate	-	21121	21675	555	contig_2011	prodigal	-	21121	21675	555	contig_2011	
52	glimmer	+	21647	22081	435	contig_2011													
53							phanotate	-	21745	21834	90	contig_2011							
54							phanotate	-	21853	22524	672	contig_2011	prodigal	-	21853	22524	672	contig_2011	
55							phanotate	-	22569	22667	99	contig_2011							
56	glimmer	-	22643	23098	456	contig_2011	phanotate	-	22643	23098	456	contig_2011	prodigal	-	22643	23098	456	contig_2011	
57													prodigal	-	23100	23813	714	contig_2011	
58	glimmer	-	23100	23942	843	contig_2011	phanotate	-	23100	23942	843	contig_2011							
59	glimmer	+	23913	24755	843	contig_2011	phanotate	+	23913	24755	843	contig_2011	prodigal	+	23913	24755	843	contig_2011	
60	glimmer	+	24757	25212	456	contig_2011	phanotate	+	24757	25212	456	contig_2011	prodigal	+	24757	25212	456	contig_2011	
61							phanotate	+	25290	25412	123	contig_2011							
62							phanotate	-	25456	25569	114	contig_2011							
63							phanotate	-	25553	25681	129	contig_2011							
64	glimmer	-	25691	26467	777	contig_2011	phanotate	-	25691	26467	777	contig_2011	prodigal	-	25691	26467	777	contig_2011	
65													prodigal	+	26499	26699	201	contig_2011	
66	glimmer	+	26528	26767	240	contig_2011	phanotate	+	26528	26767	240	contig_2011							
67	glimmer	+	26824	27306	483	contig_2011	phanotate	+	26824	27306	483	contig_2011	prodigal	+	26824	27306	483	contig_2011	
68	glimmer	-	27369	27734	366	contig_2011	phanotate	-	27369	27734	366	contig_2011	prodigal	-	27369	27734	366	contig_2011	
69							phanotate	+	27787	27894	108	contig_2011							
70	glimmer	+	27863	28057	195	contig_2011	phanotate	+	27863	28057	195	contig_2011							
71													prodigal	+	27872	28057	186	contig_2011	
72	glimmer	+	28110	28574	465	contig_2011	phanotate	+	28110	28574	465	contig_2011	prodigal	+	28110	28574	465	contig_2011	
73							phanotate	+	28596	28691	96	contig_2011							
74	glimmer	+	28722	28982	261	contig_2011							prodigal	+	28722	28982	261	contig_2011	
75							phanotate	+	28758	28982	225	contig_2011							
76	glimmer	+	28994	29638	645	contig_2011	phanotate	+	28994	29638	645	contig_2011	prodigal	+	28994	29638	645	contig_2011	
