CGC_main says, Iterating through fileSet...
CGC_main says, Sorting gene calls for each caller...
CGC_main says, Comparing accross the call sets....
CGC_main says, Merging the gene call sets....
CGC_main says, Comparing across gene call sets....
CGC_main says, Scoring gene calls....
CGC_main says, Identifying gene calls in common...
CGC_main says, printing GFF formatted gene-call file....
CGC_main says, printing report....

GENE-CALL TABLE:

number	caller	strand	leftEnd	rightEnd	length	contig	caller	strand	leftEnd	rightEnd	length	contig	caller	strand	leftEnd	rightEnd	length	contig	
1							phanotate	+	2	208	207	contig_1178	prodigal	+	2	208	207	contig_1178	
2	glimmer	+	205	405	201	contig_1178	phanotate	+	205	405	201	contig_1178	prodigal	+	205	405	201	contig_1178	
3	glimmer	+	438	857	420	contig_1178	phanotate	+	438	857	420	contig_1178	prodigal	+	438	857	420	contig_1178	
4	glimmer	+	973	1563	591	contig_1178	phanotate	+	973	1563	591	contig_1178	prodigal	+	973	1563	591	contig_1178	
5	glimmer	+	1601	2230	630	contig_1178													
6							phanotate	+	1655	2230	576	contig_1178	prodigal	+	1655	2230	576	contig_1178	
7							phanotate	+	2203	2346	144	contig_1178							
8	glimmer	+	2339	2893	555	contig_1178	phanotate	+	2339	2893	555	contig_1178	prodigal	+	2339	2893	555	contig_1178	
9	glimmer	+	2982	3653	672	contig_1178	phanotate	+	2982	3653	672	contig_1178	prodigal	+	2982	3653	672	contig_1178	
10	glimmer	+	3770	4396	627	contig_1178	phanotate	+	3770	4396	627	contig_1178							
11													prodigal	+	3794	4396	603	contig_1178	
12	glimmer	+	4386	4907	522	contig_1178	phanotate	+	4386	4907	522	contig_1178	prodigal	+	4386	4907	522	contig_1178	
13	glimmer	+	5007	5579	573	contig_1178													
14							phanotate	+	5040	5579	540	contig_1178	prodigal	+	5040	5579	540	contig_1178	
15	glimmer	+	5619	6182	564	contig_1178	phanotate	+	5619	6182	564	contig_1178	prodigal	+	5619	6182	564	contig_1178	
16	glimmer	-	6183	6356	174	contig_1178													
17							phanotate	+	6285	6824	540	contig_1178	prodigal	+	6285	6824	540	contig_1178	
18	glimmer	+	6369	6824	456	contig_1178													
19													prodigal	+	6821	7243	423	contig_1178	
20	glimmer	+	6830	7243	414	contig_1178	phanotate	+	6830	7243	414	contig_1178							
21	glimmer	+	7255	7731	477	contig_1178	phanotate	+	7255	7731	477	contig_1178	prodigal	+	7255	7731	477	contig_1178	
22	glimmer	+	7832	8119	288	contig_1178	phanotate	+	7832	8119	288	contig_1178	prodigal	+	7832	8119	288	contig_1178	
23							phanotate	+	8125	8247	123	contig_1178							
24	glimmer	+	8228	9364	1137	contig_1178							prodigal	+	8228	9364	1137	contig_1178	
25							phanotate	+	8289	8402	114	contig_1178							
26							phanotate	+	8399	9364	966	contig_1178							
27	glimmer	+	9470	10945	1476	contig_1178	phanotate	+	9470	10945	1476	contig_1178	prodigal	+	9470	10945	1476	contig_1178	
28							phanotate	+	10947	11075	129	contig_1178							
29							phanotate	+	11080	11193	114	contig_1178							
30	glimmer	+	11183	11671	489	contig_1178							prodigal	+	11183	11671	489	contig_1178	
31							phanotate	+	11443	12279	837	contig_1178							
32	glimmer	+	11668	12279	612	contig_1178							prodigal	+	11668	12279	612	contig_1178	
33	glimmer	+	12276	12794	519	contig_1178													
34							phanotate	+	12282	12794	513	contig_1178	prodigal	+	12282	12794	513	contig_1178	
35	glimmer	+	12900	13829	930	contig_1178							prodigal	+	12900	13829	930	contig_1178	
36							phanotate	+	13008	13829	822	contig_1178							
37	glimmer	+	13848	14240	393	contig_1178	phanotate	+	13848	14240	393	contig_1178							
38													prodigal	+	13866	14240	375	contig_1178	
39	glimmer	+	14237	14698	462	contig_1178	phanotate	+	14237	14698	462	contig_1178	prodigal	+	14237	14698	462	contig_1178	
40	glimmer	+	14705	15034	330	contig_1178							prodigal	+	14705	15034	330	contig_1178	
41							phanotate	+	14717	15034	318	contig_1178							
42	glimmer	+	15031	15336	306	contig_1178	phanotate	+	15031	15336	306	contig_1178	prodigal	+	15031	15336	306	contig_1178	
