locus_tag	ftype	length_bp	gene	EC_number	COG	product
HDPNFBKH_00001	CDS	1278			COG1783	putative protein
HDPNFBKH_00002	CDS	2184				hypothetical protein
HDPNFBKH_00003	CDS	1971				hypothetical protein
HDPNFBKH_00004	CDS	696				hypothetical protein
HDPNFBKH_00005	CDS	384				hypothetical protein
HDPNFBKH_00006	CDS	339				hypothetical protein
HDPNFBKH_00007	CDS	462				hypothetical protein
HDPNFBKH_00008	CDS	612				hypothetical protein
HDPNFBKH_00009	CDS	393				hypothetical protein
HDPNFBKH_00010	CDS	354				hypothetical protein
HDPNFBKH_00011	CDS	2232				hypothetical protein
HDPNFBKH_00012	CDS	927				hypothetical protein
HDPNFBKH_00013	CDS	1107				hypothetical protein
HDPNFBKH_00014	CDS	687				hypothetical protein
HDPNFBKH_00015	CDS	1023				hypothetical protein
HDPNFBKH_00016	CDS	282				hypothetical protein
HDPNFBKH_00017	CDS	1206				hypothetical protein
HDPNFBKH_00018	CDS	354				hypothetical protein
HDPNFBKH_00019	CDS	420				hypothetical protein
HDPNFBKH_00020	CDS	543				hypothetical protein
HDPNFBKH_00021	CDS	294				hypothetical protein
HDPNFBKH_00022	CDS	282				hypothetical protein
HDPNFBKH_00023	CDS	342				hypothetical protein
HDPNFBKH_00024	CDS	396				hypothetical protein
HDPNFBKH_00025	CDS	282				hypothetical protein
HDPNFBKH_00026	CDS	444				hypothetical protein
HDPNFBKH_00027	CDS	180				hypothetical protein
HDPNFBKH_00028	CDS	294				hypothetical protein
HDPNFBKH_00029	CDS	192				hypothetical protein
HDPNFBKH_00030	CDS	897				hypothetical protein
HDPNFBKH_00031	CDS	366	ssb		COG0629	Single-stranded DNA-binding protein
HDPNFBKH_00032	CDS	381				hypothetical protein
HDPNFBKH_00033	CDS	585				hypothetical protein
HDPNFBKH_00034	CDS	300				hypothetical protein
HDPNFBKH_00035	CDS	591				hypothetical protein
HDPNFBKH_00036	CDS	291				hypothetical protein
HDPNFBKH_00037	CDS	171				hypothetical protein
HDPNFBKH_00038	CDS	378				hypothetical protein
HDPNFBKH_00039	CDS	381				hypothetical protein
HDPNFBKH_00040	CDS	303				hypothetical protein
HDPNFBKH_00041	CDS	684				hypothetical protein
HDPNFBKH_00042	CDS	318				hypothetical protein
HDPNFBKH_00043	CDS	306				hypothetical protein
HDPNFBKH_00044	CDS	255				hypothetical protein
HDPNFBKH_00045	CDS	471				hypothetical protein
HDPNFBKH_00046	CDS	339				hypothetical protein
HDPNFBKH_00047	CDS	882	banIM	2.1.1.37		Modification methylase BanI
