locus_tag	ftype	length_bp	gene	EC_number	COG	product
DJLOFLBF_00001	CDS	1305				hypothetical protein
DJLOFLBF_00002	CDS	384				hypothetical protein
DJLOFLBF_00003	CDS	468				hypothetical protein
DJLOFLBF_00004	CDS	1044				hypothetical protein
DJLOFLBF_00005	CDS	417				hypothetical protein
DJLOFLBF_00006	CDS	759				hypothetical protein
DJLOFLBF_00007	CDS	5745				hypothetical protein
DJLOFLBF_00008	CDS	282				hypothetical protein
DJLOFLBF_00009	CDS	396				hypothetical protein
DJLOFLBF_00010	CDS	429				hypothetical protein
DJLOFLBF_00011	CDS	1137				hypothetical protein
DJLOFLBF_00012	CDS	573				hypothetical protein
DJLOFLBF_00013	CDS	426				hypothetical protein
DJLOFLBF_00014	CDS	612				hypothetical protein
DJLOFLBF_00015	CDS	393				hypothetical protein
DJLOFLBF_00016	CDS	924				hypothetical protein
DJLOFLBF_00017	CDS	546				hypothetical protein
DJLOFLBF_00018	CDS	1185				hypothetical protein
DJLOFLBF_00019	CDS	435				hypothetical protein
DJLOFLBF_00020	CDS	882				hypothetical protein
DJLOFLBF_00021	CDS	1566				hypothetical protein
DJLOFLBF_00022	CDS	1497				hypothetical protein
DJLOFLBF_00023	CDS	783				hypothetical protein
DJLOFLBF_00024	CDS	588				hypothetical protein
