locus_tag	ftype	length_bp	gene	EC_number	COG	product
KJBELLOC_00001	CDS	333				hypothetical protein
KJBELLOC_00002	CDS	744				hypothetical protein
KJBELLOC_00003	CDS	516				hypothetical protein
KJBELLOC_00004	CDS	1056				hypothetical protein
KJBELLOC_00005	CDS	1263				hypothetical protein
KJBELLOC_00006	CDS	1350				hypothetical protein
KJBELLOC_00007	CDS	168				hypothetical protein
KJBELLOC_00008	CDS	240				hypothetical protein
KJBELLOC_00009	CDS	648				hypothetical protein
KJBELLOC_00010	CDS	780				hypothetical protein
KJBELLOC_00011	CDS	930				hypothetical protein
KJBELLOC_00012	CDS	2133				hypothetical protein
KJBELLOC_00013	CDS	1773				hypothetical protein
KJBELLOC_00014	CDS	390				hypothetical protein
KJBELLOC_00015	CDS	1410				hypothetical protein
KJBELLOC_00016	CDS	966				hypothetical protein
KJBELLOC_00017	CDS	483				hypothetical protein
KJBELLOC_00018	CDS	297				hypothetical protein
KJBELLOC_00019	CDS	597				hypothetical protein
KJBELLOC_00020	CDS	408				hypothetical protein
KJBELLOC_00021	CDS	408				hypothetical protein
KJBELLOC_00022	CDS	378				hypothetical protein
KJBELLOC_00023	CDS	327				hypothetical protein
