#id:	circular_pair_4276
#START	STOP	FRAME	CONTIG	SCORE
153	1	-	circular_pair_4276	-2.816156224701496156307212374	
441	211	-	circular_pair_4276	-127.3155400656495891518307867	
509	420	-	circular_pair_4276	-0.1071089750742093041601092426	
781	542	-	circular_pair_4276	-7.376496240915503020924806622	
1072	911	-	circular_pair_4276	-18.92978226476571702229047481	
1146	1051	-	circular_pair_4276	-0.2197047144090819982129930813	
1413	1201	-	circular_pair_4276	-10.02330198184812953176758204	
1701	1471	-	circular_pair_4276	-127.3155400656495891518307867	
1769	1680	-	circular_pair_4276	-0.1071089750742093041601092426	
2041	1802	-	circular_pair_4276	-9.693150952427336096995110531	
2329	2099	-	circular_pair_4276	-127.3155400656495891518307867	
2397	2308	-	circular_pair_4276	-0.1071089750742093041601092426	
2669	2430	-	circular_pair_4276	-9.693150952427336096995110531	
2957	2727	-	circular_pair_4276	-127.3155400656495891518307867	
3025	2936	-	circular_pair_4276	-0.1071089750742093041601092426	
3297	3058	-	circular_pair_4276	-9.693150952427336096995110531	
3585	3355	-	circular_pair_4276	-127.3155400656495891518307867	
3653	3564	-	circular_pair_4276	-0.1071089750742093041601092426	
3925	3686	-	circular_pair_4276	-9.693150952427336096995110531	
4213	3983	-	circular_pair_4276	-127.3155400656495891518307867	
4281	4192	-	circular_pair_4276	-0.1071089750742093041601092426	
4415	4314	-	circular_pair_4276	-2.123676228170237679616215378	
