#id:	circular_pair_242
#START	STOP	FRAME	CONTIG	SCORE
151	2	-	circular_pair_242	-0.04731173517750906871601959983	
303	154	-	circular_pair_242	-1.798338465141380073152779498	
454	344	-	circular_pair_242	-1.047940313460889022508120342	
1690	458	-	circular_pair_242	-0.2472892657712080478324980382	
2149	1811	-	circular_pair_242	-823.3945830173259100986641793	
2391	2296	-	circular_pair_242	-0.1651640755847346951175999392	
2531	2433	-	circular_pair_242	-0.3471707992072916791360100518	
2644	3309	+	circular_pair_242	-27202288.99878768419467843521	
3413	4000	+	circular_pair_242	-838458.1276301022720325928911	
4753	4049	-	circular_pair_242	-2041977.512382678334929976032	
4926	5057	+	circular_pair_242	-0.1054385760961562649690028210	
