CGC_main says, Iterating through fileSet...
CGC_main says, Sorting gene calls for each caller...
CGC_main says, Comparing accross the call sets....
CGC_main says, Merging the gene call sets....
CGC_main says, Comparing across gene call sets....
CGC_main says, Scoring gene calls....
CGC_main says, Identifying gene calls in common...
CGC_main says, printing GFF formatted gene-call file....
CGC_main says, printing report....

GENE-CALL TABLE:

number	caller	strand	leftEnd	rightEnd	length	contig	caller	strand	leftEnd	rightEnd	length	contig	caller	strand	leftEnd	rightEnd	length	contig	
1													prodigal	-	2	73	72	circular_pair_2710	
2							phanotate	+	3	95	93	circular_pair_2710							
3	glimmer	+	106	855	750	circular_pair_2710	phanotate	+	106	855	750	circular_pair_2710	prodigal	+	106	855	750	circular_pair_2710	
4							phanotate	+	866	1093	228	circular_pair_2710	prodigal	+	866	1093	228	circular_pair_2710	
5	glimmer	-	1017	1301	285	circular_pair_2710													
6							phanotate	+	1090	1311	222	circular_pair_2710	prodigal	+	1090	1311	222	circular_pair_2710	
7							phanotate	+	1369	1527	159	circular_pair_2710							
8	glimmer	+	1487	1651	165	circular_pair_2710													
9							phanotate	+	1562	1651	90	circular_pair_2710							
10	glimmer	+	1651	1803	153	circular_pair_2710													
11							phanotate	+	1702	1803	102	circular_pair_2710							
12	glimmer	+	1817	1954	138	circular_pair_2710													
13							phanotate	+	1905	2003	99	circular_pair_2710							
14	glimmer	+	2087	2350	264	circular_pair_2710	phanotate	+	2087	2350	264	circular_pair_2710							
15	glimmer	+	2558	2686	129	circular_pair_2710	phanotate	+	2558	2686	129	circular_pair_2710							
16	glimmer	+	2701	2814	114	circular_pair_2710													
17							phanotate	+	2729	2860	132	circular_pair_2710							
18	glimmer	+	2894	3013	120	circular_pair_2710													
19							phanotate	+	2915	3013	99	circular_pair_2710							
20	glimmer	-	3035	3175	141	circular_pair_2710													
21							phanotate	-	3075	3203	129	circular_pair_2710							
22	glimmer	-	3298	3579	282	circular_pair_2710	phanotate	-	3298	3579	282	circular_pair_2710							
23							phanotate	-	3610	3705	96	circular_pair_2710							
24							phanotate	-	3726	3857	132	circular_pair_2710							
25	glimmer	-	3827	4084	258	circular_pair_2710	phanotate	-	3827	4084	258	circular_pair_2710	prodigal	-	3827	4084	258	circular_pair_2710	
26	glimmer	-	4051	4173	123	circular_pair_2710	phanotate	-	4051	4173	123	circular_pair_2710							
27	glimmer	-	4217	4390	174	circular_pair_2710	phanotate	-	4217	4390	174	circular_pair_2710							
28							phanotate	+	4400	4546	147	circular_pair_2710							
29	glimmer	-	4494	4625	132	circular_pair_2710													
30							phanotate	+	4537	4650	114	circular_pair_2710							
31							phanotate	+	4666	4767	102	circular_pair_2710							
32							phanotate	+	4760	4870	111	circular_pair_2710							
33	glimmer	+	4975	5229	255	circular_pair_2710	phanotate	+	4975	5229	255	circular_pair_2710	prodigal	+	4975	5229	255	circular_pair_2710	
34							phanotate	+	5232	5465	234	circular_pair_2710	prodigal	+	5232	5465	234	circular_pair_2710	
35	glimmer	+	5259	5465	207	circular_pair_2710													
36	glimmer	-	5436	5555	120	circular_pair_2710													
37							phanotate	+	5488	5577	90	circular_pair_2710	prodigal	+	5488	5577	90	circular_pair_2710	
38							phanotate	+	5617	5709	93	circular_pair_2710							
39	glimmer	-	5631	5756	126	circular_pair_2710													
40	glimmer	+	5745	5867	123	circular_pair_2710	phanotate	+	5745	5867	123	circular_pair_2710	prodigal	+	5745	5867	123	circular_pair_2710	
41							phanotate	-	5969	6097	129	circular_pair_2710							
42	glimmer	-	6167	6367	201	circular_pair_2710													
43							phanotate	-	6167	6553	387	circular_pair_2710							
44	glimmer	-	6403	6633	231	circular_pair_2710													
45							phanotate	-	6620	6715	96	circular_pair_2710							
46							phanotate	-	6696	6785	90	circular_pair_2710							
47													prodigal	+	6779	6952	174	circular_pair_2710	
48	glimmer	-	6845	7156	312	circular_pair_2710													
49							phanotate	-	6845	7543	699	circular_pair_2710							
50	glimmer	-	7195	7752	558	circular_pair_2710													
51													prodigal	+	7418	7534	117	circular_pair_2710	
52							phanotate	+	7576	7695	120	circular_pair_2710							
53							phanotate	+	7706	7810	105	circular_pair_2710							
54	glimmer	-	7835	7987	153	circular_pair_2710													
55							phanotate	+	7926	8048	123	circular_pair_2710							
56	glimmer	-	8004	8123	120	circular_pair_2710													
57							phanotate	+	8050	8292	243	circular_pair_2710							
58	glimmer	+	8104	8292	189	circular_pair_2710							prodigal	+	8104	8292	189	circular_pair_2710	
