CGC_main says, Iterating through fileSet...
CGC_main says, Sorting gene calls for each caller...
CGC_main says, Comparing accross the call sets....
CGC_main says, Merging the gene call sets....
CGC_main says, Comparing across gene call sets....
CGC_main says, Scoring gene calls....
CGC_main says, Identifying gene calls in common...
CGC_main says, printing GFF formatted gene-call file....
CGC_main says, printing report....

GENE-CALL TABLE:

number	caller	strand	leftEnd	rightEnd	length	contig	caller	strand	leftEnd	rightEnd	length	contig	caller	strand	leftEnd	rightEnd	length	contig	
1							phanotate	+	1	117	117	circular_read_1073	prodigal	+	1	117	117	circular_read_1073	
2							phanotate	+	122	490	369	circular_read_1073	prodigal	+	122	490	369	circular_read_1073	
3	glimmer	+	371	490	120	circular_read_1073													
4							phanotate	+	487	663	177	circular_read_1073							
5	glimmer	+	679	1254	576	circular_read_1073	phanotate	+	679	1254	576	circular_read_1073	prodigal	+	679	1254	576	circular_read_1073	
6							phanotate	+	1300	1404	105	circular_read_1073							
7													prodigal	+	1429	1872	444	circular_read_1073	
8							phanotate	+	1433	1540	108	circular_read_1073							
9							phanotate	+	1540	1872	333	circular_read_1073							
10							phanotate	+	1949	2173	225	circular_read_1073	prodigal	+	1949	2173	225	circular_read_1073	
11							phanotate	-	2243	2500	258	circular_read_1073	prodigal	-	2243	2500	258	circular_read_1073	
12							phanotate	-	2507	2728	222	circular_read_1073							
13													prodigal	-	2507	2791	285	circular_read_1073	
14							phanotate	-	2725	2814	90	circular_read_1073							
15							phanotate	-	2801	2914	114	circular_read_1073							
16	glimmer	-	2914	3600	687	circular_read_1073	phanotate	-	2914	3600	687	circular_read_1073	prodigal	-	2914	3600	687	circular_read_1073	
17							phanotate	-	3584	3763	180	circular_read_1073							
18													prodigal	-	3742	4038	297	circular_read_1073	
19							phanotate	-	3786	3962	177	circular_read_1073							
20	glimmer	-	3959	4078	120	circular_read_1073													
21							phanotate	-	3959	4180	222	circular_read_1073							
22							phanotate	-	4171	4326	156	circular_read_1073							
23							phanotate	-	4331	4591	261	circular_read_1073	prodigal	-	4331	4591	261	circular_read_1073	
24							phanotate	-	4588	4725	138	circular_read_1073							
25	glimmer	-	4801	5625	825	circular_read_1073	phanotate	-	4801	5625	825	circular_read_1073	prodigal	-	4801	5625	825	circular_read_1073	
26	glimmer	-	5604	5789	186	circular_read_1073	phanotate	-	5604	5789	186	circular_read_1073	prodigal	-	5604	5789	186	circular_read_1073	
27							phanotate	-	5921	6193	273	circular_read_1073	prodigal	-	5921	6193	273	circular_read_1073	
28							phanotate	-	6341	6538	198	circular_read_1073	prodigal	-	6341	6538	198	circular_read_1073	
29	glimmer	-	6364	6534	171	circular_read_1073													
30							phanotate	-	6549	6881	333	circular_read_1073	prodigal	-	6549	6881	333	circular_read_1073	
31							phanotate	-	6878	7054	177	circular_read_1073	prodigal	-	6878	7054	177	circular_read_1073	
32	glimmer	-	7002	7130	129	circular_read_1073													
33							phanotate	-	7002	7226	225	circular_read_1073							
34							phanotate	-	7232	7378	147	circular_read_1073							
35							phanotate	-	7375	7467	93	circular_read_1073							
36							phanotate	-	7567	7668	102	circular_read_1073							
37							phanotate	-	7788	7880	93	circular_read_1073							
38							phanotate	-	7861	7962	102	circular_read_1073							
39	glimmer	-	7861	7977	117	circular_read_1073													
40							phanotate	-	7943	8137	195	circular_read_1073							
41							phanotate	-	8175	8348	174	circular_read_1073							
42							phanotate	-	8452	8562	111	circular_read_1073							
43							phanotate	-	8669	8764	96	circular_read_1073							
