locus_tag	ftype	length_bp	gene	EC_number	COG	product
PPPGEDIH_00001	CDS	1287			COG1783	putative protein
PPPGEDIH_00002	CDS	2169				hypothetical protein
PPPGEDIH_00003	CDS	1086				hypothetical protein
PPPGEDIH_00004	CDS	1059				hypothetical protein
PPPGEDIH_00005	CDS	699				hypothetical protein
PPPGEDIH_00006	CDS	384				hypothetical protein
PPPGEDIH_00007	CDS	339				hypothetical protein
PPPGEDIH_00008	CDS	462				hypothetical protein
PPPGEDIH_00009	CDS	624				hypothetical protein
PPPGEDIH_00010	CDS	414				hypothetical protein
PPPGEDIH_00011	CDS	351				hypothetical protein
PPPGEDIH_00012	CDS	2868				hypothetical protein
PPPGEDIH_00013	CDS	924				hypothetical protein
PPPGEDIH_00014	CDS	1083				hypothetical protein
PPPGEDIH_00015	CDS	645				hypothetical protein
PPPGEDIH_00016	CDS	918				hypothetical protein
PPPGEDIH_00017	CDS	330				hypothetical protein
PPPGEDIH_00018	CDS	1215				hypothetical protein
PPPGEDIH_00019	CDS	315				hypothetical protein
PPPGEDIH_00020	CDS	396				hypothetical protein
PPPGEDIH_00021	CDS	300				hypothetical protein
PPPGEDIH_00022	CDS	567				hypothetical protein
PPPGEDIH_00023	CDS	294				hypothetical protein
PPPGEDIH_00024	CDS	267				hypothetical protein
PPPGEDIH_00025	CDS	255				hypothetical protein
PPPGEDIH_00026	CDS	246				hypothetical protein
PPPGEDIH_00027	CDS	363				hypothetical protein
PPPGEDIH_00028	CDS	432				hypothetical protein
PPPGEDIH_00029	CDS	282				hypothetical protein
PPPGEDIH_00030	CDS	444				hypothetical protein
PPPGEDIH_00031	CDS	180				hypothetical protein
PPPGEDIH_00032	CDS	294				hypothetical protein
PPPGEDIH_00033	CDS	237				hypothetical protein
PPPGEDIH_00034	CDS	162				hypothetical protein
PPPGEDIH_00035	CDS	837				hypothetical protein
PPPGEDIH_00036	CDS	228				hypothetical protein
PPPGEDIH_00037	CDS	369				Single-stranded DNA-binding protein
PPPGEDIH_00038	CDS	378				hypothetical protein
PPPGEDIH_00039	CDS	279				hypothetical protein
PPPGEDIH_00040	CDS	324				hypothetical protein
PPPGEDIH_00041	CDS	225				hypothetical protein
PPPGEDIH_00042	CDS	240				hypothetical protein
PPPGEDIH_00043	CDS	258				hypothetical protein
PPPGEDIH_00044	CDS	195				hypothetical protein
PPPGEDIH_00045	CDS	384				hypothetical protein
PPPGEDIH_00046	CDS	345				hypothetical protein
PPPGEDIH_00047	CDS	303				hypothetical protein
PPPGEDIH_00048	CDS	684				hypothetical protein
PPPGEDIH_00049	CDS	315				hypothetical protein
PPPGEDIH_00050	CDS	306				hypothetical protein
PPPGEDIH_00051	CDS	255				hypothetical protein
PPPGEDIH_00052	CDS	465				hypothetical protein
PPPGEDIH_00053	CDS	339				hypothetical protein
PPPGEDIH_00054	CDS	978	banIM	2.1.1.37		Modification methylase BanI
