CGC_main says, Iterating through fileSet...
CGC_main says, Sorting gene calls for each caller...
CGC_main says, Comparing accross the call sets....
CGC_main says, Merging the gene call sets....
CGC_main says, Comparing across gene call sets....
CGC_main says, Scoring gene calls....
CGC_main says, Identifying gene calls in common...
CGC_main says, printing GFF formatted gene-call file....
CGC_main says, printing report....

GENE-CALL TABLE:

number	caller	strand	leftEnd	rightEnd	length	contig	caller	strand	leftEnd	rightEnd	length	contig	caller	strand	leftEnd	rightEnd	length	contig	
1	glimmer	-	53	337	285	contig_1146	phanotate	-	53	337	285	contig_1146							
2							phanotate	+	415	573	159	contig_1146							
3							phanotate	+	577	687	111	contig_1146							
4							phanotate	-	735	827	93	contig_1146							
5	glimmer	-	824	949	126	contig_1146													
6							phanotate	-	824	961	138	contig_1146							
7							phanotate	-	980	1087	108	contig_1146							
8							phanotate	-	1094	1309	216	contig_1146							
9	glimmer	-	1317	1445	129	contig_1146													
10							phanotate	-	1317	1526	210	contig_1146							
11							phanotate	-	1527	2468	942	contig_1146	prodigal	-	1527	2468	942	contig_1146	
12	glimmer	-	1527	2501	975	contig_1146													
13	glimmer	-	2473	2859	387	contig_1146	phanotate	-	2473	2859	387	contig_1146	prodigal	-	2473	2859	387	contig_1146	
14							phanotate	-	2859	3032	174	contig_1146							
15	glimmer	-	2859	3128	270	contig_1146													
16							phanotate	-	3043	3264	222	contig_1146	prodigal	-	3043	3264	222	contig_1146	
17	glimmer	-	3274	3498	225	contig_1146	phanotate	-	3274	3498	225	contig_1146	prodigal	-	3274	3498	225	contig_1146	
18	glimmer	-	3449	3565	117	contig_1146													
19							phanotate	-	3449	3892	444	contig_1146	prodigal	-	3449	3892	444	contig_1146	
20	glimmer	-	3907	4314	408	contig_1146													
21							phanotate	-	3907	4380	474	contig_1146	prodigal	-	3907	4380	474	contig_1146	
22	glimmer	-	4380	5006	627	contig_1146	phanotate	-	4380	5006	627	contig_1146	prodigal	-	4380	5006	627	contig_1146	
23	glimmer	-	4999	5772	774	contig_1146	phanotate	-	4999	5772	774	contig_1146	prodigal	-	4999	5772	774	contig_1146	
24	glimmer	-	5769	5957	189	contig_1146													
25							phanotate	-	5769	5960	192	contig_1146	prodigal	-	5769	5960	192	contig_1146	
26	glimmer	-	5957	6466	510	contig_1146	phanotate	-	5957	6466	510	contig_1146	prodigal	-	5957	6466	510	contig_1146	
27							phanotate	-	6463	6810	348	contig_1146	prodigal	-	6463	6810	348	contig_1146	
28							phanotate	+	6859	6984	126	contig_1146							
29							phanotate	+	6984	7091	108	contig_1146							
30							phanotate	+	7227	7379	153	contig_1146	prodigal	+	7227	7379	153	contig_1146	
31							phanotate	+	7376	7513	138	contig_1146							
32							phanotate	-	7494	7613	120	contig_1146							
33							phanotate	-	7704	7826	123	contig_1146							
34							phanotate	-	7810	7962	153	contig_1146	prodigal	-	7810	7962	153	contig_1146	
35							phanotate	-	8098	8205	108	contig_1146							
36							phanotate	-	8205	8330	126	contig_1146							
37							phanotate	+	8379	8726	348	contig_1146	prodigal	+	8379	8726	348	contig_1146	
38	glimmer	+	8723	9232	510	contig_1146	phanotate	+	8723	9232	510	contig_1146	prodigal	+	8723	9232	510	contig_1146	
39													prodigal	+	9229	9420	192	contig_1146	
40	glimmer	+	9232	9420	189	contig_1146	phanotate	+	9232	9420	189	contig_1146							
41	glimmer	+	9417	10190	774	contig_1146	phanotate	+	9417	10190	774	contig_1146	prodigal	+	9417	10190	774	contig_1146	
42	glimmer	+	10183	10809	627	contig_1146	phanotate	+	10183	10809	627	contig_1146	prodigal	+	10183	10809	627	contig_1146	
43							phanotate	+	10809	11282	474	contig_1146	prodigal	+	10809	11282	474	contig_1146	
44	glimmer	+	10875	11282	408	contig_1146													
45							phanotate	+	11297	11740	444	contig_1146	prodigal	+	11297	11740	444	contig_1146	
46	glimmer	+	11624	11740	117	contig_1146													
47	glimmer	+	11691	11915	225	contig_1146	phanotate	+	11691	11915	225	contig_1146	prodigal	+	11691	11915	225	contig_1146	
48							phanotate	+	11925	12146	222	contig_1146	prodigal	+	11925	12146	222	contig_1146	
49	glimmer	+	12061	12330	270	contig_1146													
50							phanotate	+	12157	12330	174	contig_1146							
51	glimmer	+	12330	12716	387	contig_1146	phanotate	+	12330	12716	387	contig_1146	prodigal	+	12330	12716	387	contig_1146	
52	glimmer	+	12697	13710	1014	contig_1146													
53							phanotate	+	12721	13710	990	contig_1146	prodigal	+	12721	13710	990	contig_1146	
54	glimmer	+	13688	14236	549	contig_1146													
55							phanotate	+	13703	14236	534	contig_1146	prodigal	+	13703	14236	534	contig_1146	
