ID	START	STOP	STRAND	SCORE	METHOD	CONTIG
1_1	473	622	-	2.4	Prodigal_v2.6.3	circular_read_88
1_2	637	876	-	4.1	Prodigal_v2.6.3	circular_read_88
1_3	3024	3131	+	3.3	Prodigal_v2.6.3	circular_read_88
1_4	3347	3478	+	0.8	Prodigal_v2.6.3	circular_read_88
1_5	3924	4058	+	5.9	Prodigal_v2.6.3	circular_read_88
1_6	4073	4225	+	3.6	Prodigal_v2.6.3	circular_read_88
1_7	6833	6958	+	3.0	Prodigal_v2.6.3	circular_read_88
1_8	7888	8001	+	2.1	Prodigal_v2.6.3	circular_read_88
1_9	9599	9697	+	2.4	Prodigal_v2.6.3	circular_read_88
1_10	9654	9875	+	18.4	Prodigal_v2.6.3	circular_read_88
1_11	9932	10054	+	2.6	Prodigal_v2.6.3	circular_read_88
1_12	10030	10209	+	18.0	Prodigal_v2.6.3	circular_read_88
1_13	10213	10380	+	5.6	Prodigal_v2.6.3	circular_read_88
1_14	11067	11255	+	12.6	Prodigal_v2.6.3	circular_read_88
1_15	11368	11481	+	6.2	Prodigal_v2.6.3	circular_read_88
1_16	11620	11724	+	5.1	Prodigal_v2.6.3	circular_read_88
1_17	12160	12384	+	4.7	Prodigal_v2.6.3	circular_read_88
1_18	12676	12912	+	14.9	Prodigal_v2.6.3	circular_read_88
1_19	13129	13236	+	4.8	Prodigal_v2.6.3	circular_read_88
1_20	14156	14299	+	9.9	Prodigal_v2.6.3	circular_read_88
1_21	15303	15416	+	7.3	Prodigal_v2.6.3	circular_read_88
1_22	15546	15731	+	2.5	Prodigal_v2.6.3	circular_read_88
1_23	16270	16383	+	3.3	Prodigal_v2.6.3	circular_read_88
1_24	16435	16632	+	10.1	Prodigal_v2.6.3	circular_read_88
1_25	16932	17267	+	46.2	Prodigal_v2.6.3	circular_read_88
1_26	17249	17341	+	2.0	Prodigal_v2.6.3	circular_read_88
1_27	17904	18038	+	9.0	Prodigal_v2.6.3	circular_read_88
1_28	18383	18502	+	8.4	Prodigal_v2.6.3	circular_read_88
1_29	20524	20640	+	5.8	Prodigal_v2.6.3	circular_read_88
1_30	20809	20922	+	5.2	Prodigal_v2.6.3	circular_read_88
1_31	21381	21551	+	19.1	Prodigal_v2.6.3	circular_read_88
1_32	23088	23459	+	23.2	Prodigal_v2.6.3	circular_read_88
1_33	23474	23653	+	-0.3	Prodigal_v2.6.3	circular_read_88
orf00002	1349	1462	+	5.82	glimmer3	circular_read_88
orf00003	1633	1755	+	0.08	glimmer3	circular_read_88
orf00004	1805	2038	+	1.30	glimmer3	circular_read_88
orf00005	2528	2650	-	7.74	glimmer3	circular_read_88
orf00006	2913	3062	-	5.58	glimmer3	circular_read_88
orf00007	3087	3311	-	3.43	glimmer3	circular_read_88
orf00008	3347	3478	+	1.58	glimmer3	circular_read_88
orf00011	3616	3792	-	6.94	glimmer3	circular_read_88
orf00013	3924	4058	+	2.92	glimmer3	circular_read_88
orf00014	4090	4221	-	6.14	glimmer3	circular_read_88
orf00016	4257	4580	-	6.87	glimmer3	circular_read_88
orf00018	4654	4836	-	9.51	glimmer3	circular_read_88
orf00019	5332	5472	+	4.71	glimmer3	circular_read_88
orf00020	5605	5727	-	7.05	glimmer3	circular_read_88
orf00022	5794	5961	-	5.36	glimmer3	circular_read_88
orf00023	5977	6093	-	5.70	glimmer3	circular_read_88
orf00024	6180	6371	-	2.05	glimmer3	circular_read_88
orf00025	6510	6653	-	2.60	glimmer3	circular_read_88
orf00026	6662	6922	-	9.47	glimmer3	circular_read_88
orf00028	6938	7066	-	9.14	glimmer3	circular_read_88
orf00029	7410	7526	-	6.11	glimmer3	circular_read_88
orf00030	7780	7896	-	7.19	glimmer3	circular_read_88
orf00032	7893	8060	-	7.12	glimmer3	circular_read_88
orf00033	8027	8161	-	1.41	glimmer3	circular_read_88
orf00034	8273	8395	-	11.79	glimmer3	circular_read_88
orf00035	8604	8771	-	3.55	glimmer3	circular_read_88
orf00036	8765	8923	-	8.15	glimmer3	circular_read_88
orf00038	8920	9108	-	1.79	glimmer3	circular_read_88
orf00040	9112	9327	-	2.82	glimmer3	circular_read_88
orf00042	9333	9479	-	5.18	glimmer3	circular_read_88
orf00043	9520	9675	-	10.26	glimmer3	circular_read_88
orf00045	9834	9983	-	2.34	glimmer3	circular_read_88
orf00047	10030	10209	+	5.06	glimmer3	circular_read_88
orf00048	10213	10380	+	1.88	glimmer3	circular_read_88
orf00051	10513	10683	-	3.58	glimmer3	circular_read_88
orf00052	10662	10781	-	3.71	glimmer3	circular_read_88
orf00053	10798	10941	-	2.52	glimmer3	circular_read_88
orf00055	10994	11119	-	7.66	glimmer3	circular_read_88
orf00057	11180	11305	+	1.76	glimmer3	circular_read_88
orf00058	11434	11595	-	8.35	glimmer3	circular_read_88
orf00059	11686	11835	-	6.93	glimmer3	circular_read_88
orf00060	11844	12020	-	7.11	glimmer3	circular_read_88
orf00061	12026	12172	-	4.13	glimmer3	circular_read_88
orf00062	12187	12384	+	0.32	glimmer3	circular_read_88
orf00064	12398	12544	-	9.54	glimmer3	circular_read_88
orf00065	12618	12830	-	7.59	glimmer3	circular_read_88
orf00066	13017	13160	-	10.50	glimmer3	circular_read_88
orf00067	13444	13608	+	3.20	glimmer3	circular_read_88
orf00068	13574	13825	-	0.45	glimmer3	circular_read_88
orf00069	13884	14030	-	5.80	glimmer3	circular_read_88
orf00071	14208	14444	-	4.64	glimmer3	circular_read_88
orf00074	14472	14621	-	0.83	glimmer3	circular_read_88
orf00076	15303	15416	+	7.46	glimmer3	circular_read_88
orf00077	15528	15644	-	3.07	glimmer3	circular_read_88
orf00079	15625	15741	-	6.90	glimmer3	circular_read_88
orf00080	15738	15851	-	5.23	glimmer3	circular_read_88
orf00081	15863	16036	-	11.56	glimmer3	circular_read_88
orf00082	16190	16495	-	4.08	glimmer3	circular_read_88
orf00084	16674	17015	-	8.14	glimmer3	circular_read_88
orf00085	17079	17504	-	6.73	glimmer3	circular_read_88
orf00087	17542	17718	-	0.34	glimmer3	circular_read_88
orf00089	17749	17892	+	0.80	glimmer3	circular_read_88
orf00091	17956	18123	-	4.56	glimmer3	circular_read_88
orf00094	18199	18540	-	5.80	glimmer3	circular_read_88
orf00095	18562	18687	+	6.20	glimmer3	circular_read_88
orf00096	18770	18922	+	9.25	glimmer3	circular_read_88
orf00097	18915	19049	-	3.14	glimmer3	circular_read_88
orf00098	19042	19197	+	1.35	glimmer3	circular_read_88
orf00101	19761	19880	-	9.30	glimmer3	circular_read_88
orf00103	20158	20286	-	2.56	glimmer3	circular_read_88
orf00104	20524	20640	+	6.31	glimmer3	circular_read_88
orf00105	21120	21233	+	6.37	glimmer3	circular_read_88
orf00106	21284	21505	-	4.09	glimmer3	circular_read_88
NA	337	56	-	NA	PHANOTATE	circular_read_88
