CGC_main says, Iterating through fileSet...
CGC_main says, Sorting gene calls for each caller...
CGC_main says, Comparing accross the call sets....
CGC_main says, Merging the gene call sets....
CGC_main says, Comparing across gene call sets....
CGC_main says, Scoring gene calls....
CGC_main says, Identifying gene calls in common...
CGC_main says, printing GFF formatted gene-call file....
CGC_main says, printing report....

GENE-CALL TABLE:

number	caller	strand	leftEnd	rightEnd	length	contig	caller	strand	leftEnd	rightEnd	length	contig	caller	strand	leftEnd	rightEnd	length	contig	
1							phanotate	-	56	337	282	circular_read_88							
2													prodigal	-	473	622	150	circular_read_88	
3							phanotate	-	473	625	153	circular_read_88							
4							phanotate	-	637	876	240	circular_read_88	prodigal	-	637	876	240	circular_read_88	
5							phanotate	-	939	1073	135	circular_read_88							
6							phanotate	-	1102	1317	216	circular_read_88							
7	glimmer	+	1349	1462	114	circular_read_88	phanotate	+	1349	1462	114	circular_read_88							
8							phanotate	+	1591	1755	165	circular_read_88							
9	glimmer	+	1633	1755	123	circular_read_88													
10	glimmer	+	1805	2038	234	circular_read_88	phanotate	+	1805	2038	234	circular_read_88							
11							phanotate	+	1986	2210	225	circular_read_88							
12							phanotate	+	2362	2472	111	circular_read_88							
13	glimmer	-	2528	2650	123	circular_read_88													
14							phanotate	+	2530	2628	99	circular_read_88							
15							phanotate	-	2730	2819	90	circular_read_88							
16	glimmer	-	2913	3062	150	circular_read_88	phanotate	-	2913	3062	150	circular_read_88							
17													prodigal	+	3024	3131	108	circular_read_88	
18							phanotate	-	3087	3197	111	circular_read_88							
19	glimmer	-	3087	3311	225	circular_read_88													
20							phanotate	+	3180	3338	159	circular_read_88							
21	glimmer	+	3347	3478	132	circular_read_88	phanotate	+	3347	3478	132	circular_read_88	prodigal	+	3347	3478	132	circular_read_88	
22							phanotate	+	3563	3679	117	circular_read_88							
23	glimmer	-	3616	3792	177	circular_read_88													
24							phanotate	+	3745	3834	90	circular_read_88							
25	glimmer	+	3924	4058	135	circular_read_88	phanotate	+	3924	4058	135	circular_read_88	prodigal	+	3924	4058	135	circular_read_88	
26							phanotate	+	4073	4225	153	circular_read_88	prodigal	+	4073	4225	153	circular_read_88	
27	glimmer	-	4090	4221	132	circular_read_88													
28	glimmer	-	4257	4580	324	circular_read_88	phanotate	-	4257	4580	324	circular_read_88							
29	glimmer	-	4654	4836	183	circular_read_88													
