#id:	circular_pair_44
#START	STOP	FRAME	CONTIG	SCORE
443	3	-	circular_pair_44	-151.5539880348784062986002477	
1212	481	-	circular_pair_44	-114138.9301925368319229726742	
1533	1285	-	circular_pair_44	-0.2543657748376461781567781080	
2090	1575	-	circular_pair_44	-459.2471448668794058922818256	
2859	2128	-	circular_pair_44	-114138.9301925368319229726742	
3180	2932	-	circular_pair_44	-0.2543657748376461781567781080	
3737	3222	-	circular_pair_44	-459.2471448668794058922818256	
4506	3775	-	circular_pair_44	-114138.9301925368319229726742	
4827	4579	-	circular_pair_44	-0.2543657748376461781567781080	
5201	4869	-	circular_pair_44	-20.99154960659818601664397793	
