ID	START	STOP	STRAND	SCORE	METHOD	CONTIG
1_1	1	117	+	2.3	Prodigal_v2.6.3	circular_pair_738
1_2	1424	1918	-	50.5	Prodigal_v2.6.3	circular_pair_738
1_3	2150	3478	-	164.1	Prodigal_v2.6.3	circular_pair_738
1_4	3486	4400	+	110.3	Prodigal_v2.6.3	circular_pair_738
1_5	4663	4803	-	5.4	Prodigal_v2.6.3	circular_pair_738
1_6	5035	5949	-	110.3	Prodigal_v2.6.3	circular_pair_738
1_7	5957	7285	+	164.1	Prodigal_v2.6.3	circular_pair_738
1_8	7517	8284	+	102.8	Prodigal_v2.6.3	circular_pair_738
orf00001	7556	117	+	8.14	glimmer3	circular_pair_738
orf00002	93	287	+	2.39	glimmer3	circular_pair_738
orf00003	398	556	+	3.80	glimmer3	circular_pair_738
orf00004	556	669	+	0.06	glimmer3	circular_pair_738
orf00005	751	888	-	2.64	glimmer3	circular_pair_738
orf00007	955	1098	-	4.70	glimmer3	circular_pair_738
orf00008	1116	1259	+	1.20	glimmer3	circular_pair_738
orf00009	1317	1433	+	4.79	glimmer3	circular_pair_738
orf00010	1424	1879	-	7.22	glimmer3	circular_pair_738
orf00011	1893	2009	+	10.09	glimmer3	circular_pair_738
orf00012	2150	3478	-	2.96	glimmer3	circular_pair_738
orf00013	3477	4400	+	2.94	glimmer3	circular_pair_738
orf00014	4541	4657	-	10.09	glimmer3	circular_pair_738
orf00015	4663	4803	-	4.06	glimmer3	circular_pair_738
orf00016	4778	4894	+	7.84	glimmer3	circular_pair_738
orf00017	5035	5958	-	2.94	glimmer3	circular_pair_738
orf00018	5957	7285	+	2.96	glimmer3	circular_pair_738
orf00019	7426	7542	-	10.09	glimmer3	circular_pair_738
NA	1	117	+	NA	PHANOTATE	circular_pair_738
NA	180	287	+	NA	PHANOTATE	circular_pair_738
NA	358	465	+	NA	PHANOTATE	circular_pair_738
NA	443	556	+	NA	PHANOTATE	circular_pair_738
NA	556	669	+	NA	PHANOTATE	circular_pair_738
NA	888	751	-	NA	PHANOTATE	circular_pair_738
NA	1098	955	-	NA	PHANOTATE	circular_pair_738
NA	1245	1150	-	NA	PHANOTATE	circular_pair_738
NA	1392	1297	-	NA	PHANOTATE	circular_pair_738
NA	1918	1424	-	NA	PHANOTATE	circular_pair_738
NA	1893	2009	+	NA	PHANOTATE	circular_pair_738
NA	2077	2187	+	NA	PHANOTATE	circular_pair_738
NA	3478	2150	-	NA	PHANOTATE	circular_pair_738
NA	3514	3609	+	NA	PHANOTATE	circular_pair_738
NA	3477	4400	+	NA	PHANOTATE	circular_pair_738
NA	4473	4363	-	NA	PHANOTATE	circular_pair_738
NA	4657	4541	-	NA	PHANOTATE	circular_pair_738
NA	4803	4663	-	NA	PHANOTATE	circular_pair_738
NA	4778	4894	+	NA	PHANOTATE	circular_pair_738
NA	4962	5072	+	NA	PHANOTATE	circular_pair_738
NA	5958	5035	-	NA	PHANOTATE	circular_pair_738
NA	5981	7285	+	NA	PHANOTATE	circular_pair_738
NA	7358	7248	-	NA	PHANOTATE	circular_pair_738
NA	7542	7426	-	NA	PHANOTATE	circular_pair_738
NA	7517	8284	+	NA	PHANOTATE	circular_pair_738
