ID	START	STOP	STRAND	SCORE	METHOD	CONTIG
1_1	3	74	+	2.2	Prodigal_v2.6.3	scaffold_1397
1_2	975	1115	-	2.2	Prodigal_v2.6.3	scaffold_1397
1_3	1609	1812	+	13.3	Prodigal_v2.6.3	scaffold_1397
1_4	2601	3104	-	29.0	Prodigal_v2.6.3	scaffold_1397
1_5	3064	3363	-	22.7	Prodigal_v2.6.3	scaffold_1397
1_6	3400	3600	-	4.4	Prodigal_v2.6.3	scaffold_1397
1_7	4499	5425	+	52.0	Prodigal_v2.6.3	scaffold_1397
1_8	5462	6616	+	93.2	Prodigal_v2.6.3	scaffold_1397
1_9	6938	7384	-	44.3	Prodigal_v2.6.3	scaffold_1397
1_10	7420	7707	-	30.3	Prodigal_v2.6.3	scaffold_1397
1_11	7716	8309	-	90.7	Prodigal_v2.6.3	scaffold_1397
1_12	8376	8555	-	26.7	Prodigal_v2.6.3	scaffold_1397
1_13	8567	8980	-	42.9	Prodigal_v2.6.3	scaffold_1397
1_14	9259	9801	-	30.4	Prodigal_v2.6.3	scaffold_1397
1_15	9932	10657	+	36.9	Prodigal_v2.6.3	scaffold_1397
1_16	10936	11349	+	42.9	Prodigal_v2.6.3	scaffold_1397
1_17	11361	11540	+	26.7	Prodigal_v2.6.3	scaffold_1397
1_18	11607	12200	+	90.7	Prodigal_v2.6.3	scaffold_1397
1_19	12209	12496	+	30.3	Prodigal_v2.6.3	scaffold_1397
1_20	12532	12978	+	43.3	Prodigal_v2.6.3	scaffold_1397
1_21	13201	14313	-	102.3	Prodigal_v2.6.3	scaffold_1397
1_22	14451	15161	-	80.8	Prodigal_v2.6.3	scaffold_1397
1_23	15255	16001	-	90.2	Prodigal_v2.6.3	scaffold_1397
1_24	16248	16457	+	25.6	Prodigal_v2.6.3	scaffold_1397
1_25	16479	16820	+	33.4	Prodigal_v2.6.3	scaffold_1397
1_26	16997	17161	+	5.1	Prodigal_v2.6.3	scaffold_1397
1_27	17240	17539	+	49.0	Prodigal_v2.6.3	scaffold_1397
1_28	17539	18453	+	121.7	Prodigal_v2.6.3	scaffold_1397
1_29	18454	19278	+	106.1	Prodigal_v2.6.3	scaffold_1397
1_30	19288	20055	+	75.6	Prodigal_v2.6.3	scaffold_1397
1_31	20071	20874	+	55.9	Prodigal_v2.6.3	scaffold_1397
1_32	20888	21103	+	35.2	Prodigal_v2.6.3	scaffold_1397
1_33	21057	21281	+	5.8	Prodigal_v2.6.3	scaffold_1397
1_34	21244	22029	+	68.3	Prodigal_v2.6.3	scaffold_1397
1_35	22032	22211	+	22.4	Prodigal_v2.6.3	scaffold_1397
1_36	22258	22476	+	2.4	Prodigal_v2.6.3	scaffold_1397
1_37	22509	23183	+	71.9	Prodigal_v2.6.3	scaffold_1397
1_38	23158	23640	+	89.2	Prodigal_v2.6.3	scaffold_1397
1_39	23654	23827	+	8.3	Prodigal_v2.6.3	scaffold_1397
1_40	24045	24170	+	11.9	Prodigal_v2.6.3	scaffold_1397
1_41	24151	24690	-	37.1	Prodigal_v2.6.3	scaffold_1397
1_42	24690	25211	-	44.8	Prodigal_v2.6.3	scaffold_1397
1_43	25226	25612	-	33.4	Prodigal_v2.6.3	scaffold_1397
1_44	25624	25821	-	1.4	Prodigal_v2.6.3	scaffold_1397
1_45	25827	26102	-	29.4	Prodigal_v2.6.3	scaffold_1397
1_46	26092	26499	-	30.5	Prodigal_v2.6.3	scaffold_1397
1_47	26534	26944	+	12.2	Prodigal_v2.6.3	scaffold_1397
1_48	26956	27342	+	34.0	Prodigal_v2.6.3	scaffold_1397
1_49	27357	27878	+	44.8	Prodigal_v2.6.3	scaffold_1397
1_50	27878	28417	+	37.1	Prodigal_v2.6.3	scaffold_1397
1_51	28398	28523	-	11.9	Prodigal_v2.6.3	scaffold_1397
1_52	28741	28914	-	8.3	Prodigal_v2.6.3	scaffold_1397
1_53	28928	29410	-	89.2	Prodigal_v2.6.3	scaffold_1397
1_54	29385	30071	-	74.8	Prodigal_v2.6.3	scaffold_1397
1_55	30071	30514	-	64.4	Prodigal_v2.6.3	scaffold_1397
1_56	30517	31302	-	70.8	Prodigal_v2.6.3	scaffold_1397
1_57	31265	31363	-	4.3	Prodigal_v2.6.3	scaffold_1397
orf00001	937	1056	-	2.72	glimmer3	scaffold_1397
orf00002	1395	1538	-	2.40	glimmer3	scaffold_1397
orf00003	1609	1812	+	8.89	glimmer3	scaffold_1397
orf00004	2601	3104	-	4.49	glimmer3	scaffold_1397
orf00005	3064	3363	-	5.79	glimmer3	scaffold_1397
orf00006	3400	3600	-	9.80	glimmer3	scaffold_1397
orf00009	4478	5425	+	14.62	glimmer3	scaffold_1397
orf00010	5462	6616	+	6.56	glimmer3	scaffold_1397
orf00012	6938	7384	-	11.88	glimmer3	scaffold_1397
orf00013	7420	7707	-	6.18	glimmer3	scaffold_1397
orf00014	7716	8309	-	14.87	glimmer3	scaffold_1397
orf00015	8376	8555	-	7.74	glimmer3	scaffold_1397
orf00016	8567	9004	-	12.30	glimmer3	scaffold_1397
orf00017	9259	9801	-	13.11	glimmer3	scaffold_1397
orf00018	9932	10657	+	10.98	glimmer3	scaffold_1397
orf00019	10912	11349	+	12.30	glimmer3	scaffold_1397
orf00020	11361	11540	+	7.74	glimmer3	scaffold_1397
orf00021	11607	12200	+	14.87	glimmer3	scaffold_1397
orf00022	12209	12496	+	6.18	glimmer3	scaffold_1397
orf00023	12532	12978	+	11.86	glimmer3	scaffold_1397
orf00024	13201	14313	-	7.00	glimmer3	scaffold_1397
orf00025	14451	15161	-	8.80	glimmer3	scaffold_1397
orf00026	15255	16001	-	7.53	glimmer3	scaffold_1397
orf00027	16248	16457	+	5.72	glimmer3	scaffold_1397
