locus_tag	ftype	length_bp	gene	EC_number	COG	product
HKBNCMPH_00001	CDS	1377				hypothetical protein
HKBNCMPH_00002	CDS	330				hypothetical protein
HKBNCMPH_00003	CDS	1818				hypothetical protein
HKBNCMPH_00004	CDS	2175				hypothetical protein
HKBNCMPH_00005	CDS	936				hypothetical protein
HKBNCMPH_00006	CDS	801				hypothetical protein
HKBNCMPH_00007	CDS	549				hypothetical protein
HKBNCMPH_00008	CDS	1413				hypothetical protein
HKBNCMPH_00009	CDS	1251				hypothetical protein
HKBNCMPH_00010	CDS	1068				hypothetical protein
HKBNCMPH_00011	CDS	423				hypothetical protein
HKBNCMPH_00012	CDS	729				hypothetical protein
HKBNCMPH_00013	CDS	381				hypothetical protein
HKBNCMPH_00014	CDS	354				hypothetical protein
