CGC_main says, Iterating through fileSet...
CGC_main says, Sorting gene calls for each caller...
CGC_main says, Comparing accross the call sets....
CGC_main says, Merging the gene call sets....
CGC_main says, Comparing across gene call sets....
CGC_main says, Scoring gene calls....
CGC_main says, Identifying gene calls in common...
CGC_main says, printing GFF formatted gene-call file....
CGC_main says, printing report....

GENE-CALL TABLE:

number	caller	strand	leftEnd	rightEnd	length	contig	caller	strand	leftEnd	rightEnd	length	contig	caller	strand	leftEnd	rightEnd	length	contig	
1							phanotate	-	1	150	150	scaffold_1633	prodigal	-	1	150	150	scaffold_1633	
2	glimmer	-	157	1461	1305	scaffold_1633	phanotate	-	157	1461	1305	scaffold_1633	prodigal	-	157	1461	1305	scaffold_1633	
3	glimmer	-	1439	1837	399	scaffold_1633													
4							phanotate	-	1439	1897	459	scaffold_1633	prodigal	-	1439	1897	459	scaffold_1633	
5	glimmer	-	1908	2555	648	scaffold_1633	phanotate	-	1908	2555	648	scaffold_1633	prodigal	-	1908	2555	648	scaffold_1633	
6	glimmer	-	2542	3612	1071	scaffold_1633	phanotate	-	2542	3612	1071	scaffold_1633	prodigal	-	2542	3612	1071	scaffold_1633	
7	glimmer	-	3605	4099	495	scaffold_1633	phanotate	-	3605	4099	495	scaffold_1633	prodigal	-	3605	4099	495	scaffold_1633	
8							phanotate	-	4165	4260	96	scaffold_1633							
9	glimmer	-	4288	4587	300	scaffold_1633	phanotate	-	4288	4587	300	scaffold_1633	prodigal	-	4288	4587	300	scaffold_1633	
10	glimmer	-	4590	5792	1203	scaffold_1633	phanotate	-	4590	5792	1203	scaffold_1633	prodigal	-	4590	5792	1203	scaffold_1633	
11							phanotate	+	5884	5997	114	scaffold_1633							
12							phanotate	+	6132	6299	168	scaffold_1633							
13							phanotate	+	6404	6499	96	scaffold_1633							
14							phanotate	-	6515	6628	114	scaffold_1633							
15	glimmer	+	6720	7922	1203	scaffold_1633	phanotate	+	6720	7922	1203	scaffold_1633	prodigal	+	6720	7922	1203	scaffold_1633	
16	glimmer	+	7925	8224	300	scaffold_1633	phanotate	+	7925	8224	300	scaffold_1633	prodigal	+	7925	8224	300	scaffold_1633	
17							phanotate	+	8252	8347	96	scaffold_1633							
