ID	START	STOP	STRAND	SCORE	METHOD	CONTIG
1_1	3	881	+	71.4	Prodigal_v2.6.3	contig_479
1_2	995	1420	+	52.1	Prodigal_v2.6.3	contig_479
1_3	1417	1842	+	19.9	Prodigal_v2.6.3	contig_479
1_4	1923	2411	+	48.2	Prodigal_v2.6.3	contig_479
1_5	2414	2656	+	30.8	Prodigal_v2.6.3	contig_479
orf00001	2414	881	+	4.65	glimmer3	contig_479
orf00002	995	1420	+	7.40	glimmer3	contig_479
orf00003	1417	1842	+	5.37	glimmer3	contig_479
orf00004	1923	2411	+	7.27	glimmer3	contig_479
NA	3	881	+	NA	PHANOTATE	contig_479
NA	995	1420	+	NA	PHANOTATE	contig_479
NA	1417	1842	+	NA	PHANOTATE	contig_479
NA	1923	2411	+	NA	PHANOTATE	contig_479
NA	2414	2656	+	NA	PHANOTATE	contig_479
