locus_tag	ftype	length_bp	gene	EC_number	COG	product
LNBIPGOE_00001	CDS	603	bin3			Putative transposon Tn552 DNA-invertase bin3
LNBIPGOE_00002	CDS	456				hypothetical protein
LNBIPGOE_00003	CDS	1098				hypothetical protein
LNBIPGOE_00004	CDS	213				hypothetical protein
LNBIPGOE_00005	CDS	279				hypothetical protein
LNBIPGOE_00006	CDS	1116				hypothetical protein
LNBIPGOE_00007	CDS	198				hypothetical protein
LNBIPGOE_00008	CDS	2175				hypothetical protein
LNBIPGOE_00009	CDS	807				hypothetical protein
LNBIPGOE_00010	CDS	3681				hypothetical protein
LNBIPGOE_00011	CDS	318				hypothetical protein
LNBIPGOE_00012	CDS	372				hypothetical protein
LNBIPGOE_00013	CDS	615				hypothetical protein
LNBIPGOE_00014	CDS	399				hypothetical protein
LNBIPGOE_00015	CDS	375				hypothetical protein
LNBIPGOE_00016	CDS	297				hypothetical protein
LNBIPGOE_00017	CDS	369				hypothetical protein
LNBIPGOE_00018	CDS	876				hypothetical protein
LNBIPGOE_00019	CDS	627				hypothetical protein
LNBIPGOE_00020	CDS	936				hypothetical protein
LNBIPGOE_00021	CDS	1401				hypothetical protein
LNBIPGOE_00022	CDS	1275				hypothetical protein
LNBIPGOE_00023	CDS	858				hypothetical protein
LNBIPGOE_00024	CDS	267				hypothetical protein
LNBIPGOE_00025	CDS	282				hypothetical protein
LNBIPGOE_00026	CDS	180				hypothetical protein
LNBIPGOE_00027	CDS	444				hypothetical protein
LNBIPGOE_00028	CDS	189				hypothetical protein
LNBIPGOE_00029	CDS	252				hypothetical protein
LNBIPGOE_00030	CDS	315				hypothetical protein
LNBIPGOE_00031	CDS	429				hypothetical protein
LNBIPGOE_00032	CDS	315				hypothetical protein
LNBIPGOE_00033	CDS	219				hypothetical protein
LNBIPGOE_00034	CDS	240				hypothetical protein
LNBIPGOE_00035	CDS	708				hypothetical protein
LNBIPGOE_00036	CDS	312				hypothetical protein
LNBIPGOE_00037	CDS	186				hypothetical protein
LNBIPGOE_00038	CDS	744				hypothetical protein
LNBIPGOE_00039	CDS	426				hypothetical protein
LNBIPGOE_00040	CDS	354				hypothetical protein
LNBIPGOE_00041	CDS	219				hypothetical protein
LNBIPGOE_00042	CDS	252				hypothetical protein
LNBIPGOE_00043	CDS	384				hypothetical protein
LNBIPGOE_00044	CDS	429				hypothetical protein
LNBIPGOE_00045	CDS	663				hypothetical protein
LNBIPGOE_00046	CDS	834				hypothetical protein
LNBIPGOE_00047	CDS	858				hypothetical protein
LNBIPGOE_00048	CDS	900				hypothetical protein
LNBIPGOE_00049	CDS	354				hypothetical protein
LNBIPGOE_00050	CDS	183				hypothetical protein
LNBIPGOE_00051	CDS	264				hypothetical protein
LNBIPGOE_00052	CDS	537				hypothetical protein
LNBIPGOE_00053	CDS	216				hypothetical protein
LNBIPGOE_00054	CDS	240				hypothetical protein
LNBIPGOE_00055	CDS	192				hypothetical protein
LNBIPGOE_00056	CDS	645	lexA	3.4.21.88		LexA repressor
LNBIPGOE_00057	CDS	837				hypothetical protein
LNBIPGOE_00058	CDS	681				hypothetical protein
