CGC_main says, Iterating through fileSet...
CGC_main says, Sorting gene calls for each caller...
CGC_main says, Comparing accross the call sets....
CGC_main says, Merging the gene call sets....
CGC_main says, Comparing across gene call sets....
CGC_main says, Scoring gene calls....
CGC_main says, Identifying gene calls in common...
CGC_main says, printing GFF formatted gene-call file....
CGC_main says, printing report....

GENE-CALL TABLE:

number	caller	strand	leftEnd	rightEnd	length	contig	caller	strand	leftEnd	rightEnd	length	contig	caller	strand	leftEnd	rightEnd	length	contig	
1							phanotate	-	2	106	105	contig_2055	prodigal	-	2	106	105	contig_2055	
2	glimmer	-	84	233	150	contig_2055													
3							phanotate	-	84	242	159	contig_2055	prodigal	-	84	242	159	contig_2055	
4	glimmer	-	242	559	318	contig_2055													
5							phanotate	-	242	571	330	contig_2055	prodigal	-	242	571	330	contig_2055	
6	glimmer	-	519	674	156	contig_2055													
7							phanotate	-	649	738	90	contig_2055							
8							phanotate	-	824	934	111	contig_2055							
9							phanotate	-	928	1038	111	contig_2055							
10							phanotate	-	1055	1159	105	contig_2055							
11							phanotate	-	1159	1269	111	contig_2055							
12	glimmer	+	1269	1466	198	contig_2055													
13							phanotate	-	1414	1572	159	contig_2055	prodigal	-	1414	1572	159	contig_2055	
14	glimmer	-	1620	1754	135	contig_2055	phanotate	-	1620	1754	135	contig_2055							
15							phanotate	-	1732	2127	396	contig_2055	prodigal	-	1732	2127	396	contig_2055	
16	glimmer	-	1732	2172	441	contig_2055													
17	glimmer	-	2288	2518	231	contig_2055	phanotate	-	2288	2518	231	contig_2055	prodigal	-	2288	2518	231	contig_2055	
18							phanotate	-	2612	2713	102	contig_2055							
19	glimmer	-	2700	2882	183	contig_2055	phanotate	-	2700	2882	183	contig_2055							
20	glimmer	-	2897	3022	126	contig_2055	phanotate	-	2897	3022	126	contig_2055							
21	glimmer	-	3054	3443	390	contig_2055	phanotate	-	3054	3443	390	contig_2055	prodigal	-	3054	3443	390	contig_2055	
22							phanotate	-	3436	3564	129	contig_2055							
23	glimmer	-	3436	3657	222	contig_2055													
24							phanotate	-	3630	3743	114	contig_2055							
25	glimmer	+	3787	3909	123	contig_2055	phanotate	+	3787	3909	123	contig_2055							
26							phanotate	-	3891	3989	99	contig_2055							
27							phanotate	-	4037	4183	147	contig_2055							
28	glimmer	+	4043	4180	138	contig_2055							prodigal	+	4043	4180	138	contig_2055	
29							phanotate	-	4266	4394	129	contig_2055							
30	glimmer	+	4278	4478	201	contig_2055													
31							phanotate	-	4432	4578	147	contig_2055							
32							phanotate	-	4657	4821	165	contig_2055							
33							phanotate	-	4858	4953	96	contig_2055							
34							phanotate	+	5029	5151	123	contig_2055							
35							phanotate	+	5123	5266	144	contig_2055							
36							phanotate	+	5363	5623	261	contig_2055							
37	glimmer	+	5367	5480	114	contig_2055													
38	glimmer	+	5695	6759	1065	contig_2055	phanotate	+	5695	6759	1065	contig_2055	prodigal	+	5695	6759	1065	contig_2055	
39							phanotate	-	6948	7079	132	contig_2055							
40	glimmer	+	7020	7388	369	contig_2055													
41							phanotate	+	7029	7388	360	contig_2055	prodigal	+	7029	7388	360	contig_2055	
42	glimmer	+	7445	7792	348	contig_2055	phanotate	+	7445	7792	348	contig_2055	prodigal	+	7445	7792	348	contig_2055	
43	glimmer	+	7949	9466	1518	contig_2055	phanotate	+	7949	9466	1518	contig_2055	prodigal	+	7949	9466	1518	contig_2055	
44	glimmer	+	9481	9900	420	contig_2055	phanotate	+	9481	9900	420	contig_2055	prodigal	+	9481	9900	420	contig_2055	
45	glimmer	+	9894	10190	297	contig_2055	phanotate	+	9894	10190	297	contig_2055							
46													prodigal	+	9900	10190	291	contig_2055	
47	glimmer	+	10202	10594	393	contig_2055	phanotate	+	10202	10594	393	contig_2055	prodigal	+	10202	10594	393	contig_2055	
48							phanotate	+	10594	10749	156	contig_2055	prodigal	+	10594	10749	156	contig_2055	
49	glimmer	+	10603	10749	147	contig_2055													
