locus_tag	ftype	length_bp	gene	EC_number	COG	product
LKBIFOPK_00001	CDS	387				hypothetical protein
LKBIFOPK_00002	CDS	966				hypothetical protein
LKBIFOPK_00003	CDS	1410				hypothetical protein
LKBIFOPK_00004	CDS	390				hypothetical protein
LKBIFOPK_00005	CDS	1773				hypothetical protein
LKBIFOPK_00006	CDS	2136				hypothetical protein
LKBIFOPK_00007	CDS	930				hypothetical protein
LKBIFOPK_00008	CDS	780				hypothetical protein
LKBIFOPK_00009	CDS	648				hypothetical protein
LKBIFOPK_00010	CDS	240				hypothetical protein
LKBIFOPK_00011	CDS	168				hypothetical protein
LKBIFOPK_00012	CDS	1350				hypothetical protein
LKBIFOPK_00013	CDS	1263				hypothetical protein
LKBIFOPK_00014	CDS	1056				hypothetical protein
LKBIFOPK_00015	CDS	516				hypothetical protein
LKBIFOPK_00016	CDS	744				hypothetical protein
LKBIFOPK_00017	CDS	333				hypothetical protein
LKBIFOPK_00018	CDS	360				hypothetical protein
