locus_tag	ftype	length_bp	gene	EC_number	COG	product
FBLCBNJG_00001	CDS	1287			COG1783	putative protein
FBLCBNJG_00002	CDS	2184				hypothetical protein
FBLCBNJG_00003	CDS	1974				hypothetical protein
FBLCBNJG_00004	CDS	696				hypothetical protein
FBLCBNJG_00005	CDS	384				hypothetical protein
FBLCBNJG_00006	CDS	339				hypothetical protein
FBLCBNJG_00007	CDS	462				hypothetical protein
FBLCBNJG_00008	CDS	615				hypothetical protein
FBLCBNJG_00009	CDS	393				hypothetical protein
FBLCBNJG_00010	CDS	354				hypothetical protein
FBLCBNJG_00011	CDS	2868				hypothetical protein
FBLCBNJG_00012	CDS	930				hypothetical protein
FBLCBNJG_00013	CDS	1107				hypothetical protein
FBLCBNJG_00014	CDS	591				hypothetical protein
FBLCBNJG_00015	CDS	945				hypothetical protein
FBLCBNJG_00016	CDS	1203				hypothetical protein
FBLCBNJG_00017	CDS	354				hypothetical protein
FBLCBNJG_00018	CDS	378				hypothetical protein
FBLCBNJG_00019	CDS	411				hypothetical protein
FBLCBNJG_00020	CDS	294				hypothetical protein
FBLCBNJG_00021	CDS	354				hypothetical protein
FBLCBNJG_00022	CDS	330				hypothetical protein
FBLCBNJG_00023	CDS	267				hypothetical protein
FBLCBNJG_00024	CDS	258				hypothetical protein
FBLCBNJG_00025	CDS	234				hypothetical protein
FBLCBNJG_00026	CDS	408				hypothetical protein
FBLCBNJG_00027	CDS	279				hypothetical protein
FBLCBNJG_00028	CDS	444				hypothetical protein
FBLCBNJG_00029	CDS	180				hypothetical protein
FBLCBNJG_00030	CDS	294				hypothetical protein
FBLCBNJG_00031	CDS	189				hypothetical protein
FBLCBNJG_00032	CDS	873				hypothetical protein
FBLCBNJG_00033	CDS	369				Single-stranded DNA-binding protein
FBLCBNJG_00034	CDS	381				hypothetical protein
FBLCBNJG_00035	CDS	600				hypothetical protein
FBLCBNJG_00036	CDS	300				hypothetical protein
FBLCBNJG_00037	CDS	591				hypothetical protein
FBLCBNJG_00038	CDS	297				hypothetical protein
FBLCBNJG_00039	CDS	171				hypothetical protein
FBLCBNJG_00040	CDS	378				hypothetical protein
FBLCBNJG_00041	CDS	354				hypothetical protein
FBLCBNJG_00042	CDS	303				hypothetical protein
FBLCBNJG_00043	CDS	684				hypothetical protein
FBLCBNJG_00044	CDS	318				hypothetical protein
FBLCBNJG_00045	CDS	297				hypothetical protein
FBLCBNJG_00046	CDS	252				hypothetical protein
FBLCBNJG_00047	CDS	471				hypothetical protein
FBLCBNJG_00048	CDS	339				hypothetical protein
FBLCBNJG_00049	CDS	405				hypothetical protein
FBLCBNJG_00050	CDS	423				hypothetical protein
