locus_tag	ftype	length_bp	gene	EC_number	COG	product
OEFGJOLF_00001	CDS	525				hypothetical protein
OEFGJOLF_00002	CDS	1143				hypothetical protein
OEFGJOLF_00003	CDS	414				hypothetical protein
OEFGJOLF_00004	CDS	792				hypothetical protein
OEFGJOLF_00005	CDS	441				hypothetical protein
OEFGJOLF_00006	CDS	450				hypothetical protein
OEFGJOLF_00007	CDS	792				hypothetical protein
OEFGJOLF_00008	CDS	414				hypothetical protein
OEFGJOLF_00009	CDS	1143				hypothetical protein
OEFGJOLF_00010	CDS	249				hypothetical protein
OEFGJOLF_00011	CDS	171				hypothetical protein
OEFGJOLF_00012	CDS	525				hypothetical protein
OEFGJOLF_00013	CDS	1143				hypothetical protein
OEFGJOLF_00014	CDS	414				hypothetical protein
OEFGJOLF_00015	CDS	216				hypothetical protein
OEFGJOLF_00016	CDS	1143				hypothetical protein
OEFGJOLF_00017	CDS	525				hypothetical protein
OEFGJOLF_00018	CDS	930				hypothetical protein
OEFGJOLF_00019	CDS	387				hypothetical protein
OEFGJOLF_00020	CDS	633				hypothetical protein
OEFGJOLF_00021	CDS	372				hypothetical protein
OEFGJOLF_00022	CDS	549				hypothetical protein
OEFGJOLF_00023	CDS	1134				hypothetical protein
OEFGJOLF_00024	CDS	432				hypothetical protein
OEFGJOLF_00025	CDS	399				hypothetical protein
OEFGJOLF_00026	CDS	228				hypothetical protein
OEFGJOLF_00027	CDS	5037				hypothetical protein
OEFGJOLF_00028	CDS	1008				hypothetical protein
OEFGJOLF_00029	CDS	411				hypothetical protein
OEFGJOLF_00030	CDS	990				hypothetical protein
OEFGJOLF_00031	CDS	453				hypothetical protein
OEFGJOLF_00032	CDS	348				hypothetical protein
OEFGJOLF_00033	CDS	360				hypothetical protein
OEFGJOLF_00034	CDS	411				hypothetical protein
OEFGJOLF_00035	CDS	738				hypothetical protein
OEFGJOLF_00036	CDS	243				hypothetical protein
OEFGJOLF_00037	CDS	375				hypothetical protein
OEFGJOLF_00038	CDS	411				hypothetical protein
OEFGJOLF_00039	CDS	744				hypothetical protein
OEFGJOLF_00040	CDS	918				hypothetical protein
OEFGJOLF_00041	CDS	156				hypothetical protein
OEFGJOLF_00042	CDS	453				hypothetical protein
OEFGJOLF_00043	CDS	972				hypothetical protein
