locus_tag	ftype	length_bp	gene	EC_number	COG	product
FMCCADHB_00001	CDS	678				hypothetical protein
FMCCADHB_00002	CDS	219				hypothetical protein
FMCCADHB_00003	CDS	153				hypothetical protein
FMCCADHB_00004	CDS	423				hypothetical protein
FMCCADHB_00005	CDS	159				hypothetical protein
FMCCADHB_00006	CDS	177				hypothetical protein
FMCCADHB_00007	CDS	348				hypothetical protein
FMCCADHB_00008	CDS	369				hypothetical protein
FMCCADHB_00009	CDS	501				hypothetical protein
FMCCADHB_00010	CDS	288				hypothetical protein
FMCCADHB_00011	CDS	522				hypothetical protein
FMCCADHB_00012	CDS	501				hypothetical protein
FMCCADHB_00013	CDS	321				hypothetical protein
FMCCADHB_00014	CDS	459				hypothetical protein
FMCCADHB_00015	CDS	1434				hypothetical protein
FMCCADHB_00016	CDS	1269				hypothetical protein
FMCCADHB_00017	CDS	840				hypothetical protein
FMCCADHB_00018	CDS	1128				hypothetical protein
FMCCADHB_00019	CDS	501				hypothetical protein
FMCCADHB_00020	CDS	957				hypothetical protein
FMCCADHB_00021	CDS	378				hypothetical protein
FMCCADHB_00022	CDS	468				hypothetical protein
FMCCADHB_00023	CDS	327				hypothetical protein
FMCCADHB_00024	CDS	447				hypothetical protein
FMCCADHB_00025	CDS	1515				hypothetical protein
FMCCADHB_00026	CDS	432				hypothetical protein
FMCCADHB_00027	CDS	414				hypothetical protein
