locus_tag	ftype	length_bp	gene	EC_number	COG	product
CILHOEEI_00001	CDS	201				hypothetical protein
CILHOEEI_00002	CDS	1452				hypothetical protein
CILHOEEI_00003	CDS	1419				hypothetical protein
CILHOEEI_00004	CDS	795				hypothetical protein
CILHOEEI_00005	CDS	414				hypothetical protein
CILHOEEI_00006	CDS	1128				hypothetical protein
CILHOEEI_00007	CDS	498				hypothetical protein
CILHOEEI_00008	CDS	912				hypothetical protein
CILHOEEI_00009	CDS	384				hypothetical protein
CILHOEEI_00010	CDS	636				hypothetical protein
CILHOEEI_00011	CDS	372				hypothetical protein
CILHOEEI_00012	CDS	567				hypothetical protein
CILHOEEI_00013	CDS	1116				hypothetical protein
CILHOEEI_00014	CDS	426				hypothetical protein
CILHOEEI_00015	CDS	396				hypothetical protein
CILHOEEI_00016	CDS	228				hypothetical protein
CILHOEEI_00017	CDS	4902				hypothetical protein
CILHOEEI_00018	CDS	957				hypothetical protein
CILHOEEI_00019	CDS	411				hypothetical protein
CILHOEEI_00020	CDS	963				hypothetical protein
CILHOEEI_00021	CDS	441				hypothetical protein
CILHOEEI_00022	CDS	390				hypothetical protein
CILHOEEI_00023	CDS	1161				hypothetical protein
CILHOEEI_00024	CDS	579				hypothetical protein
CILHOEEI_00025	CDS	2055				hypothetical protein
CILHOEEI_00026	CDS	438				hypothetical protein
