CGC_main says, Iterating through fileSet...
CGC_main says, Sorting gene calls for each caller...
CGC_main says, Comparing accross the call sets....
CGC_main says, Merging the gene call sets....
CGC_main says, Comparing across gene call sets....
CGC_main says, Scoring gene calls....
CGC_main says, Identifying gene calls in common...
CGC_main says, printing GFF formatted gene-call file....
CGC_main says, printing report....

GENE-CALL TABLE:

number	caller	strand	leftEnd	rightEnd	length	contig	caller	strand	leftEnd	rightEnd	length	contig	caller	strand	leftEnd	rightEnd	length	contig	
1							phanotate	+	108	212	105	circular_pair_3186							
2													prodigal	-	284	493	210	circular_pair_3186	
3							phanotate	+	303	521	219	circular_pair_3186							
4							phanotate	+	568	678	111	circular_pair_3186							
5	glimmer	+	668	841	174	circular_pair_3186													
6							phanotate	+	689	841	153	circular_pair_3186							
7													prodigal	-	838	1200	363	circular_pair_3186	
8							phanotate	+	898	1137	240	circular_pair_3186							
9	glimmer	+	1122	1238	117	circular_pair_3186	phanotate	+	1122	1238	117	circular_pair_3186							
10							phanotate	+	1357	1500	144	circular_pair_3186							
11	glimmer	+	1457	1684	228	circular_pair_3186													
12							phanotate	+	1523	1684	162	circular_pair_3186							
13							phanotate	+	1717	1932	216	circular_pair_3186							
14							phanotate	+	2011	2277	267	circular_pair_3186							
15	glimmer	+	2131	2277	147	circular_pair_3186													
16							phanotate	+	2287	2424	138	circular_pair_3186							
17													prodigal	-	2401	2580	180	circular_pair_3186	
18							phanotate	+	2462	2770	309	circular_pair_3186							
19	glimmer	+	2549	2770	222	circular_pair_3186													
20							phanotate	+	2852	3064	213	circular_pair_3186							
21	glimmer	+	3055	3213	159	circular_pair_3186	phanotate	+	3055	3213	159	circular_pair_3186							
22							phanotate	+	3589	3942	354	circular_pair_3186							
23													prodigal	-	3797	4000	204	circular_pair_3186	
24	glimmer	-	3865	4002	138	circular_pair_3186													
25							phanotate	+	3993	4091	99	circular_pair_3186							
26							phanotate	+	4113	4220	108	circular_pair_3186							
27							phanotate	+	4402	4530	129	circular_pair_3186							
28	glimmer	+	4571	4714	144	circular_pair_3186	phanotate	+	4571	4714	144	circular_pair_3186							
29	glimmer	+	4872	5087	216	circular_pair_3186	phanotate	+	4872	5087	216	circular_pair_3186							
30							phanotate	+	5127	5249	123	circular_pair_3186							
31	glimmer	-	5196	5363	168	circular_pair_3186													
32							phanotate	+	5327	5485	159	circular_pair_3186							
33							phanotate	+	5461	5577	117	circular_pair_3186							
34							phanotate	+	5636	5761	126	circular_pair_3186							
35							phanotate	+	5785	5889	105	circular_pair_3186							
36							phanotate	+	6014	6109	96	circular_pair_3186							
37	glimmer	-	6018	6137	120	circular_pair_3186													
38							phanotate	+	6194	6298	105	circular_pair_3186							
39	glimmer	-	6260	6421	162	circular_pair_3186													
40							phanotate	+	6321	6434	114	circular_pair_3186							
41	glimmer	-	6418	6627	210	circular_pair_3186	phanotate	-	6418	6627	210	circular_pair_3186							
42							phanotate	-	6704	6868	165	circular_pair_3186							
43	glimmer	-	6704	6877	174	circular_pair_3186													
44							phanotate	+	6890	6991	102	circular_pair_3186							
45	glimmer	-	7016	7270	255	circular_pair_3186													
46							phanotate	+	7031	7120	90	circular_pair_3186							
47							phanotate	+	7170	7301	132	circular_pair_3186							
48							phanotate	+	7393	7644	252	circular_pair_3186	prodigal	+	7393	7644	252	circular_pair_3186	
49	glimmer	-	7528	7650	123	circular_pair_3186													
50	glimmer	-	7637	7888	252	circular_pair_3186													
51													prodigal	+	7676	7870	195	circular_pair_3186	
52							phanotate	+	7691	7870	180	circular_pair_3186							
53							phanotate	+	7924	8043	120	circular_pair_3186							
54	glimmer	+	8080	8280	201	circular_pair_3186	phanotate	+	8080	8280	201	circular_pair_3186	prodigal	+	8080	8280	201	circular_pair_3186	
55	glimmer	+	8314	8514	201	circular_pair_3186	phanotate	+	8314	8514	201	circular_pair_3186	prodigal	+	8314	8514	201	circular_pair_3186	
56							phanotate	+	8561	8653	93	circular_pair_3186	prodigal	+	8561	8653	93	circular_pair_3186	
57	glimmer	-	8586	8978	393	circular_pair_3186													
58							phanotate	+	8625	8732	108	circular_pair_3186	prodigal	+	8625	8732	108	circular_pair_3186	
59													prodigal	+	8710	8889	180	circular_pair_3186	
60							phanotate	+	8725	8889	165	circular_pair_3186							
61							phanotate	+	8861	8998	138	circular_pair_3186	prodigal	+	8861	8998	138	circular_pair_3186	
62							phanotate	+	8979	9107	129	circular_pair_3186	prodigal	+	8979	9107	129	circular_pair_3186	
63	glimmer	-	9057	9218	162	circular_pair_3186													
64							phanotate	+	9097	9231	135	circular_pair_3186							
65													prodigal	+	9146	9277	132	circular_pair_3186	
66	glimmer	-	9259	9423	165	circular_pair_3186	phanotate	-	9259	9423	165	circular_pair_3186							
67	glimmer	-	9471	9626	156	circular_pair_3186	phanotate	-	9471	9626	156	circular_pair_3186							
68													prodigal	+	9612	9713	102	circular_pair_3186	
69	glimmer	-	9666	10010	345	circular_pair_3186	phanotate	-	9666	10010	345	circular_pair_3186							
70	glimmer	-	10056	10199	144	circular_pair_3186													
71							phanotate	+	10119	10256	138	circular_pair_3186							
72													prodigal	+	10184	10378	195	circular_pair_3186	
73	glimmer	+	10229	10378	150	circular_pair_3186													
74							phanotate	+	10332	10460	129	circular_pair_3186	prodigal	+	10332	10460	129	circular_pair_3186	
75							phanotate	+	10514	10615	102	circular_pair_3186							
76							phanotate	+	10624	10722	99	circular_pair_3186	prodigal	+	10624	10722	99	circular_pair_3186	
77	glimmer	-	10676	10810	135	circular_pair_3186													
78							phanotate	+	10788	10892	105	circular_pair_3186							
79	glimmer	-	10926	11174	249	circular_pair_3186	phanotate	-	10926	11174	249	circular_pair_3186							
80													prodigal	+	11160	11306	147	circular_pair_3186	
81	glimmer	-	11171	11287	117	circular_pair_3186	phanotate	-	11171	11287	117	circular_pair_3186							
82	glimmer	+	11437	11616	180	circular_pair_3186													
