ID	START	STOP	STRAND	SCORE	METHOD	CONTIG
1_1	139	546	+	43.3	Prodigal_v2.6.3	circular_read_1035
1_2	549	1556	+	75.1	Prodigal_v2.6.3	circular_read_1035
1_3	1532	2272	-	49.1	Prodigal_v2.6.3	circular_read_1035
1_4	2275	2682	-	43.3	Prodigal_v2.6.3	circular_read_1035
1_5	3003	3371	-	20.1	Prodigal_v2.6.3	circular_read_1035
orf00001	3331	116	+	2.46	glimmer3	circular_read_1035
orf00002	139	546	+	7.74	glimmer3	circular_read_1035
orf00003	549	1556	+	2.95	glimmer3	circular_read_1035
orf00004	1532	2272	-	2.93	glimmer3	circular_read_1035
orf00005	2275	2682	-	7.74	glimmer3	circular_read_1035
orf00006	2825	3025	+	1.65	glimmer3	circular_read_1035
NA	3	116	+	NA	PHANOTATE	circular_read_1035
NA	139	546	+	NA	PHANOTATE	circular_read_1035
NA	549	1556	+	NA	PHANOTATE	circular_read_1035
NA	2272	1532	-	NA	PHANOTATE	circular_read_1035
NA	2682	2275	-	NA	PHANOTATE	circular_read_1035
NA	2835	2743	-	NA	PHANOTATE	circular_read_1035
NA	3371	3003	-	NA	PHANOTATE	circular_read_1035
