ID	START	STOP	STRAND	SCORE	METHOD	CONTIG
1_1	1	96	-	16.0	Prodigal_v2.6.3	circular_pair_3911
1_2	282	440	+	2.3	Prodigal_v2.6.3	circular_pair_3911
1_3	412	759	+	44.9	Prodigal_v2.6.3	circular_pair_3911
1_4	854	1087	+	7.8	Prodigal_v2.6.3	circular_pair_3911
1_5	1084	1413	+	53.8	Prodigal_v2.6.3	circular_pair_3911
1_6	1991	2509	-	19.8	Prodigal_v2.6.3	circular_pair_3911
1_7	2773	3102	-	53.8	Prodigal_v2.6.3	circular_pair_3911
1_8	3099	3332	-	7.8	Prodigal_v2.6.3	circular_pair_3911
1_9	3427	3663	-	9.6	Prodigal_v2.6.3	circular_pair_3911
1_10	3653	3775	-	9.0	Prodigal_v2.6.3	circular_pair_3911
1_11	3747	3920	-	0.0	Prodigal_v2.6.3	circular_pair_3911
1_12	4250	5053	-	46.2	Prodigal_v2.6.3	circular_pair_3911
1_13	5395	5913	-	19.8	Prodigal_v2.6.3	circular_pair_3911
1_14	6177	6458	-	33.5	Prodigal_v2.6.3	circular_pair_3911
1_15	6403	6507	-	6.3	Prodigal_v2.6.3	circular_pair_3911
1_16	6504	6737	-	7.8	Prodigal_v2.6.3	circular_pair_3911
1_17	6832	7044	-	17.8	Prodigal_v2.6.3	circular_pair_3911
orf00001	68	205	-	4.25	glimmer3	circular_pair_3911
orf00002	282	440	+	5.70	glimmer3	circular_pair_3911
orf00003	412	759	+	13.09	glimmer3	circular_pair_3911
orf00004	854	1087	+	11.08	glimmer3	circular_pair_3911
orf00005	1084	1413	+	14.50	glimmer3	circular_pair_3911
orf00006	1991	2509	-	2.90	glimmer3	circular_pair_3911
orf00007	2773	3102	-	14.57	glimmer3	circular_pair_3911
orf00008	3099	3332	-	11.08	glimmer3	circular_pair_3911
orf00009	3427	3663	-	14.18	glimmer3	circular_pair_3911
orf00010	3653	3775	-	7.97	glimmer3	circular_pair_3911
orf00011	3747	3932	-	5.69	glimmer3	circular_pair_3911
orf00012	4250	5053	-	2.94	glimmer3	circular_pair_3911
orf00013	5395	5913	-	2.90	glimmer3	circular_pair_3911
orf00014	6177	6437	-	14.74	glimmer3	circular_pair_3911
orf00015	6504	6737	-	11.08	glimmer3	circular_pair_3911
orf00016	6832	17	-	12.80	glimmer3	circular_pair_3911
NA	96	1	-	NA	PHANOTATE	circular_pair_3911
NA	157	68	-	NA	PHANOTATE	circular_pair_3911
NA	282	440	+	NA	PHANOTATE	circular_pair_3911
NA	412	759	+	NA	PHANOTATE	circular_pair_3911
NA	854	1087	+	NA	PHANOTATE	circular_pair_3911
NA	1087	1413	+	NA	PHANOTATE	circular_pair_3911
NA	1438	1545	+	NA	PHANOTATE	circular_pair_3911
NA	1609	1758	+	NA	PHANOTATE	circular_pair_3911
NA	1755	1850	+	NA	PHANOTATE	circular_pair_3911
NA	1847	1945	+	NA	PHANOTATE	circular_pair_3911
NA	2509	1991	-	NA	PHANOTATE	circular_pair_3911
NA	2748	2641	-	NA	PHANOTATE	circular_pair_3911
NA	3099	2773	-	NA	PHANOTATE	circular_pair_3911
NA	3332	3099	-	NA	PHANOTATE	circular_pair_3911
NA	3696	3427	-	NA	PHANOTATE	circular_pair_3911
NA	3932	3747	-	NA	PHANOTATE	circular_pair_3911
NA	4100	4005	-	NA	PHANOTATE	circular_pair_3911
NA	4186	4064	-	NA	PHANOTATE	circular_pair_3911
NA	5053	4250	-	NA	PHANOTATE	circular_pair_3911
NA	5034	5162	+	NA	PHANOTATE	circular_pair_3911
NA	5159	5254	+	NA	PHANOTATE	circular_pair_3911
NA	5251	5349	+	NA	PHANOTATE	circular_pair_3911
NA	5913	5395	-	NA	PHANOTATE	circular_pair_3911
NA	6152	6045	-	NA	PHANOTATE	circular_pair_3911
NA	6458	6177	-	NA	PHANOTATE	circular_pair_3911
NA	6737	6504	-	NA	PHANOTATE	circular_pair_3911
NA	7044	6832	-	NA	PHANOTATE	circular_pair_3911
