locus_tag	ftype	length_bp	gene	EC_number	COG	product
EDFAHPGE_00001	CDS	378				hypothetical protein
EDFAHPGE_00002	CDS	195				hypothetical protein
EDFAHPGE_00003	CDS	201				hypothetical protein
EDFAHPGE_00004	CDS	279				hypothetical protein
EDFAHPGE_00005	CDS	441				hypothetical protein
EDFAHPGE_00006	CDS	534				hypothetical protein
EDFAHPGE_00007	CDS	342				hypothetical protein
EDFAHPGE_00008	CDS	186				hypothetical protein
EDFAHPGE_00009	CDS	573				hypothetical protein
EDFAHPGE_00010	CDS	465				hypothetical protein
EDFAHPGE_00011	CDS	153				hypothetical protein
EDFAHPGE_00012	CDS	252				hypothetical protein
EDFAHPGE_00013	CDS	156				hypothetical protein
EDFAHPGE_00014	CDS	384				hypothetical protein
EDFAHPGE_00015	CDS	177				hypothetical protein
EDFAHPGE_00016	CDS	213				hypothetical protein
