#id:	contig_3127
#START	STOP	FRAME	CONTIG	SCORE
149	3	-	contig_3127	-3.137283494382178244803495597	
765	163	-	contig_3127	-22923.81644074393720649051875	
939	1541	+	contig_3127	-21769.15398423369831253142125	
1555	2013	+	contig_3127	-359.7911317692823996165086866	
2026	2316	+	contig_3127	-215.2369016526673127675289817	
2316	2675	+	contig_3127	-689.9953691729258467767096305	
2668	3006	+	contig_3127	-1912.714940448935918470056337	
3008	3172	+	contig_3127	-1.974478383894009632889629170	
3150	3407	+	contig_3127	-187.4996127641893979177127856	
3458	3598	+	contig_3127	-0.6454505731262677845690380907	
3601	5178	+	contig_3127	-674340593.2511738082546178437	
6774	5107	-	contig_3127	-16664844110.41783437665653479	
6917	6777	-	contig_3127	-0.6522791523375527339997882802	
7225	6968	-	contig_3127	-187.4996127641893979177127858	
7367	7203	-	contig_3127	-2.008353897992010582213725987	
7707	7369	-	contig_3127	-2609.947332136167694106645157	
8059	7700	-	contig_3127	-689.9953691729258467767096328	
8349	8059	-	contig_3127	-215.2369016526673127675289816	
8676	8362	-	contig_3127	-94.59367175077060034336900825	
