locus_tag	ftype	length_bp	gene	EC_number	COG	product
DKLOHAKG_00001	CDS	429				hypothetical protein
DKLOHAKG_00002	CDS	1056				hypothetical protein
DKLOHAKG_00003	CDS	837			COG1192	putative protein
DKLOHAKG_00004	CDS	318				hypothetical protein
DKLOHAKG_00005	CDS	195				hypothetical protein
DKLOHAKG_00006	CDS	423				hypothetical protein
DKLOHAKG_00007	CDS	759				hypothetical protein
DKLOHAKG_00008	CDS	426				hypothetical protein
DKLOHAKG_00009	CDS	396				hypothetical protein
DKLOHAKG_00010	CDS	363				hypothetical protein
DKLOHAKG_00011	CDS	192				hypothetical protein
DKLOHAKG_00012	CDS	231				hypothetical protein
DKLOHAKG_00013	CDS	333				hypothetical protein
DKLOHAKG_00014	CDS	837				hypothetical protein
DKLOHAKG_00015	CDS	399				hypothetical protein
DKLOHAKG_00016	CDS	192				hypothetical protein
DKLOHAKG_00017	CDS	444	ssb		COG0629	Single-stranded DNA-binding protein
DKLOHAKG_00018	CDS	399				hypothetical protein
DKLOHAKG_00019	CDS	342				hypothetical protein
DKLOHAKG_00020	CDS	462				hypothetical protein
