locus_tag	ftype	length_bp	gene	EC_number	COG	product
OHLIMEOI_00001	CDS	600				hypothetical protein
OHLIMEOI_00002	CDS	2478				hypothetical protein
OHLIMEOI_00003	CDS	321				hypothetical protein
OHLIMEOI_00004	CDS	1647				hypothetical protein
OHLIMEOI_00005	CDS	522				hypothetical protein
OHLIMEOI_00006	CDS	486				hypothetical protein
OHLIMEOI_00007	CDS	2445				hypothetical protein
OHLIMEOI_00008	CDS	1173	intS		COG0582	Prophage integrase IntS
OHLIMEOI_00009	CDS	219				hypothetical protein
OHLIMEOI_00010	CDS	783				hypothetical protein
OHLIMEOI_00011	CDS	270				hypothetical protein
OHLIMEOI_00012	CDS	1383				hypothetical protein
OHLIMEOI_00013	CDS	270				hypothetical protein
OHLIMEOI_00014	CDS	228				hypothetical protein
OHLIMEOI_00015	CDS	237				hypothetical protein
OHLIMEOI_00016	CDS	2103				hypothetical protein
OHLIMEOI_00017	CDS	345				hypothetical protein
OHLIMEOI_00018	CDS	315				hypothetical protein
OHLIMEOI_00019	CDS	582				hypothetical protein
OHLIMEOI_00020	CDS	1245				hypothetical protein
OHLIMEOI_00021	CDS	426				hypothetical protein
OHLIMEOI_00022	CDS	294				hypothetical protein
OHLIMEOI_00023	CDS	207				hypothetical protein
OHLIMEOI_00024	CDS	369				hypothetical protein
OHLIMEOI_00025	CDS	669			COG2932	putative HTH-type transcriptional regulator
OHLIMEOI_00026	CDS	198				hypothetical protein
OHLIMEOI_00027	CDS	2142				hypothetical protein
OHLIMEOI_00028	CDS	162				hypothetical protein
OHLIMEOI_00029	CDS	180				hypothetical protein
OHLIMEOI_00030	CDS	207				hypothetical protein
OHLIMEOI_00031	CDS	348				hypothetical protein
OHLIMEOI_00032	CDS	417				hypothetical protein
OHLIMEOI_00033	CDS	243				hypothetical protein
OHLIMEOI_00034	CDS	1602				hypothetical protein
OHLIMEOI_00035	CDS	237				hypothetical protein
OHLIMEOI_00036	CDS	888				hypothetical protein
OHLIMEOI_00037	CDS	894				hypothetical protein
OHLIMEOI_00038	CDS	564				hypothetical protein
OHLIMEOI_00039	CDS	2064				hypothetical protein
OHLIMEOI_00040	CDS	453				hypothetical protein
OHLIMEOI_00041	CDS	471				hypothetical protein
OHLIMEOI_00042	CDS	2130				hypothetical protein
