locus_tag	ftype	length_bp	gene	EC_number	COG	product
PPMAOLOM_00001	CDS	231				hypothetical protein
PPMAOLOM_00002	CDS	384				hypothetical protein
PPMAOLOM_00003	CDS	474				hypothetical protein
PPMAOLOM_00004	CDS	1884				hypothetical protein
PPMAOLOM_00005	CDS	534				hypothetical protein
PPMAOLOM_00006	CDS	1149				hypothetical protein
PPMAOLOM_00007	CDS	477				hypothetical protein
PPMAOLOM_00008	CDS	360				hypothetical protein
PPMAOLOM_00009	CDS	1113				hypothetical protein
PPMAOLOM_00010	CDS	681				hypothetical protein
PPMAOLOM_00011	CDS	2076				hypothetical protein
