locus_tag	ftype	length_bp	gene	EC_number	COG	product
EJKIKJHK_00001	CDS	1068				hypothetical protein
EJKIKJHK_00002	CDS	1251				hypothetical protein
EJKIKJHK_00003	CDS	1413				hypothetical protein
EJKIKJHK_00004	CDS	288				hypothetical protein
EJKIKJHK_00005	CDS	657				hypothetical protein
EJKIKJHK_00006	CDS	801				hypothetical protein
EJKIKJHK_00007	CDS	936				hypothetical protein
EJKIKJHK_00008	CDS	2175				hypothetical protein
EJKIKJHK_00009	CDS	1788				hypothetical protein
EJKIKJHK_00010	CDS	336				hypothetical protein
EJKIKJHK_00011	CDS	1464				hypothetical protein
EJKIKJHK_00012	CDS	987				hypothetical protein
EJKIKJHK_00013	CDS	429				hypothetical protein
EJKIKJHK_00014	CDS	276				hypothetical protein
EJKIKJHK_00015	CDS	237				hypothetical protein
EJKIKJHK_00016	CDS	171				hypothetical protein
EJKIKJHK_00017	CDS	183				hypothetical protein
EJKIKJHK_00018	CDS	549				hypothetical protein
EJKIKJHK_00019	CDS	288				hypothetical protein
EJKIKJHK_00020	CDS	312				hypothetical protein
EJKIKJHK_00021	CDS	363				hypothetical protein
