CGC_main says, Iterating through fileSet...
CGC_main says, Sorting gene calls for each caller...
CGC_main says, Comparing accross the call sets....
CGC_main says, Merging the gene call sets....
CGC_main says, Comparing across gene call sets....
CGC_main says, Scoring gene calls....
CGC_main says, Identifying gene calls in common...
CGC_main says, printing GFF formatted gene-call file....
CGC_main says, printing report....

GENE-CALL TABLE:

number	caller	strand	leftEnd	rightEnd	length	contig	caller	strand	leftEnd	rightEnd	length	contig	caller	strand	leftEnd	rightEnd	length	contig	
1	glimmer	-	11	187	177	scaffold_828	phanotate	-	11	187	177	scaffold_828	prodigal	-	11	187	177	scaffold_828	
2	glimmer	-	188	856	669	scaffold_828	phanotate	-	188	856	669	scaffold_828	prodigal	-	188	856	669	scaffold_828	
3	glimmer	-	849	1151	303	scaffold_828	phanotate	-	849	1151	303	scaffold_828	prodigal	-	849	1151	303	scaffold_828	
4	glimmer	-	1141	1383	243	scaffold_828	phanotate	-	1141	1383	243	scaffold_828	prodigal	-	1141	1383	243	scaffold_828	
5	glimmer	-	1456	1725	270	scaffold_828	phanotate	-	1456	1725	270	scaffold_828	prodigal	-	1456	1725	270	scaffold_828	
6							phanotate	-	1758	1874	117	scaffold_828							
7	glimmer	+	1889	2041	153	scaffold_828	phanotate	+	1889	2041	153	scaffold_828	prodigal	+	1889	2041	153	scaffold_828	
8	glimmer	+	2051	2509	459	scaffold_828	phanotate	+	2051	2509	459	scaffold_828	prodigal	+	2051	2509	459	scaffold_828	
9							phanotate	-	2607	2774	168	scaffold_828							
10	glimmer	-	3050	3325	276	scaffold_828	phanotate	-	3050	3325	276	scaffold_828	prodigal	-	3050	3325	276	scaffold_828	
11							phanotate	-	3273	3410	138	scaffold_828							
12							phanotate	-	3553	3699	147	scaffold_828							
13	glimmer	-	3764	4408	645	scaffold_828	phanotate	-	3764	4408	645	scaffold_828	prodigal	-	3764	4408	645	scaffold_828	
14	glimmer	+	4521	4724	204	scaffold_828	phanotate	+	4521	4724	204	scaffold_828	prodigal	+	4521	4724	204	scaffold_828	
15	glimmer	+	4731	5030	300	scaffold_828	phanotate	+	4731	5030	300	scaffold_828	prodigal	+	4731	5030	300	scaffold_828	
16							phanotate	+	5027	5764	738	scaffold_828	prodigal	+	5027	5764	738	scaffold_828	
17	glimmer	+	5033	5764	732	scaffold_828													
18	glimmer	+	5767	6423	657	scaffold_828	phanotate	+	5767	6423	657	scaffold_828	prodigal	+	5767	6423	657	scaffold_828	
19	glimmer	+	6407	6781	375	scaffold_828							prodigal	+	6407	6781	375	scaffold_828	
20							phanotate	+	6449	6781	333	scaffold_828							
