CGC_main says, Iterating through fileSet...
CGC_main says, Sorting gene calls for each caller...
CGC_main says, Comparing accross the call sets....
CGC_main says, Merging the gene call sets....
CGC_main says, Comparing across gene call sets....
CGC_main says, Scoring gene calls....
CGC_main says, Identifying gene calls in common...
CGC_main says, printing GFF formatted gene-call file....
CGC_main says, printing report....

GENE-CALL TABLE:

number	caller	strand	leftEnd	rightEnd	length	contig	caller	strand	leftEnd	rightEnd	length	contig	caller	strand	leftEnd	rightEnd	length	contig	
1	glimmer	+	25	372	348	contig_145	phanotate	+	25	372	348	contig_145	prodigal	+	25	372	348	contig_145	
2	glimmer	+	369	908	540	contig_145	phanotate	+	369	908	540	contig_145	prodigal	+	369	908	540	contig_145	
3	glimmer	-	929	1240	312	contig_145							prodigal	-	929	1240	312	contig_145	
4							phanotate	-	929	1264	336	contig_145							
5	glimmer	-	1329	2408	1080	contig_145	phanotate	-	1329	2408	1080	contig_145	prodigal	-	1329	2408	1080	contig_145	
6							phanotate	-	2421	2534	114	contig_145							
7	glimmer	-	2538	2984	447	contig_145	phanotate	-	2538	2984	447	contig_145	prodigal	-	2538	2984	447	contig_145	
8	glimmer	-	3045	3743	699	contig_145	phanotate	-	3045	3743	699	contig_145	prodigal	-	3045	3743	699	contig_145	
9							phanotate	-	3789	4019	231	contig_145							
10							phanotate	-	4013	4108	96	contig_145							
11							phanotate	-	4219	5235	1017	contig_145							
12	glimmer	-	4219	5277	1059	contig_145							prodigal	-	4219	5277	1059	contig_145	
13	glimmer	-	5293	5535	243	contig_145	phanotate	-	5293	5535	243	contig_145	prodigal	-	5293	5535	243	contig_145	
14													prodigal	-	5619	6053	435	contig_145	
15	glimmer	-	5619	6065	447	contig_145	phanotate	-	5619	6065	447	contig_145							
16	glimmer	-	6081	6533	453	contig_145	phanotate	-	6081	6533	453	contig_145	prodigal	-	6081	6533	453	contig_145	
17							phanotate	+	6675	6845	171	contig_145							
18							phanotate	-	6970	7134	165	contig_145							
19							phanotate	-	7095	7229	135	contig_145							
