locus_tag	ftype	length_bp	gene	EC_number	COG	product
LPKJCBON_00001	CDS	2187				hypothetical protein
LPKJCBON_00002	CDS	309				hypothetical protein
LPKJCBON_00003	CDS	714				hypothetical protein
LPKJCBON_00004	CDS	3663				hypothetical protein
LPKJCBON_00005	CDS	3525				hypothetical protein
LPKJCBON_00006	CDS	582				hypothetical protein
LPKJCBON_00007	CDS	627				hypothetical protein
LPKJCBON_00008	CDS	210				hypothetical protein
LPKJCBON_00009	CDS	255				hypothetical protein
LPKJCBON_00010	CDS	156				hypothetical protein
LPKJCBON_00011	CDS	480				hypothetical protein
LPKJCBON_00012	CDS	2238				hypothetical protein
LPKJCBON_00013	CDS	231				hypothetical protein
LPKJCBON_00014	CDS	891				hypothetical protein
LPKJCBON_00015	CDS	657				hypothetical protein
LPKJCBON_00016	CDS	1158				hypothetical protein
LPKJCBON_00017	CDS	954				hypothetical protein
LPKJCBON_00018	CDS	1602				hypothetical protein
LPKJCBON_00019	CDS	1299				hypothetical protein
LPKJCBON_00020	CDS	795				hypothetical protein
LPKJCBON_00021	CDS	1728				hypothetical protein
