CGC_main says, Iterating through fileSet...
CGC_main says, Sorting gene calls for each caller...
CGC_main says, Comparing accross the call sets....
CGC_main says, Merging the gene call sets....
CGC_main says, Comparing across gene call sets....
CGC_main says, Scoring gene calls....
CGC_main says, Identifying gene calls in common...
CGC_main says, printing GFF formatted gene-call file....
CGC_main says, printing report....

GENE-CALL TABLE:

number	caller	strand	leftEnd	rightEnd	length	contig	caller	strand	leftEnd	rightEnd	length	contig	caller	strand	leftEnd	rightEnd	length	contig	
1							phanotate	-	92	193	102	circular_pair_2015							
2	glimmer	-	197	343	147	circular_pair_2015	phanotate	-	197	343	147	circular_pair_2015							
3	glimmer	-	383	508	126	circular_pair_2015	phanotate	-	383	508	126	circular_pair_2015							
4							phanotate	-	529	630	102	circular_pair_2015							
5							phanotate	-	666	905	240	circular_pair_2015							
6	glimmer	+	808	927	120	circular_pair_2015													
7	glimmer	-	911	1156	246	circular_pair_2015													
8							phanotate	+	1002	1217	216	circular_pair_2015	prodigal	+	1002	1217	216	circular_pair_2015	
9							phanotate	-	1220	1327	108	circular_pair_2015							
10	glimmer	-	1220	1408	189	circular_pair_2015													
11							phanotate	-	1366	1482	117	circular_pair_2015							
12							phanotate	-	1717	1830	114	circular_pair_2015							
13							phanotate	-	1963	2202	240	circular_pair_2015							
14	glimmer	-	2267	2410	144	circular_pair_2015	phanotate	-	2267	2410	144	circular_pair_2015							
15							phanotate	-	2548	2637	90	circular_pair_2015							
16							phanotate	-	2610	2720	111	circular_pair_2015							
17	glimmer	-	2745	2897	153	circular_pair_2015	phanotate	-	2745	2897	153	circular_pair_2015							
18							phanotate	-	3125	3232	108	circular_pair_2015							
19							phanotate	+	3211	3324	114	circular_pair_2015							
20	glimmer	+	3302	3427	126	circular_pair_2015													
21							phanotate	+	3338	3427	90	circular_pair_2015							
22							phanotate	+	3573	3683	111	circular_pair_2015							
23							phanotate	+	3658	3798	141	circular_pair_2015							
24							phanotate	+	3811	3912	102	circular_pair_2015							
25	glimmer	-	4345	4491	147	circular_pair_2015	phanotate	-	4345	4491	147	circular_pair_2015							
26							phanotate	-	4517	4699	183	circular_pair_2015							
27	glimmer	-	4517	4729	213	circular_pair_2015													
28							phanotate	-	4747	4839	93	circular_pair_2015							
29							phanotate	-	4894	5037	144	circular_pair_2015							
30							phanotate	-	5053	5187	135	circular_pair_2015							
31							phanotate	-	5194	5397	204	circular_pair_2015							
32													prodigal	+	5211	5378	168	circular_pair_2015	
33							phanotate	-	5462	5569	108	circular_pair_2015							
34	glimmer	+	5538	5714	177	circular_pair_2015	phanotate	+	5538	5714	177	circular_pair_2015							
35	glimmer	+	5794	5916	123	circular_pair_2015													
36							phanotate	+	5821	5916	96	circular_pair_2015							
37	glimmer	-	5968	6081	114	circular_pair_2015	phanotate	-	5968	6081	114	circular_pair_2015							
38	glimmer	-	6216	6371	156	circular_pair_2015	phanotate	-	6216	6371	156	circular_pair_2015							
39	glimmer	-	6341	6466	126	circular_pair_2015													
40							phanotate	-	6341	6547	207	circular_pair_2015							
41							phanotate	-	6658	6753	96	circular_pair_2015							
42							phanotate	-	6804	6959	156	circular_pair_2015							
43							phanotate	-	6950	7090	141	circular_pair_2015							
44							phanotate	-	7145	7300	156	circular_pair_2015							
45	glimmer	-	7359	7580	222	circular_pair_2015	phanotate	-	7359	7580	222	circular_pair_2015							
46							phanotate	+	7649	7738	90	circular_pair_2015							
47							phanotate	-	7893	7994	102	circular_pair_2015							
48							phanotate	+	8043	8135	93	circular_pair_2015							
49							phanotate	+	8144	8254	111	circular_pair_2015							
50							phanotate	+	8292	8468	177	circular_pair_2015							
51	glimmer	-	8309	8512	204	circular_pair_2015													
52							phanotate	+	8502	8690	189	circular_pair_2015							
53							phanotate	+	8712	8816	105	circular_pair_2015							
54							phanotate	+	8870	9031	162	circular_pair_2015							
55	glimmer	-	9276	9548	273	circular_pair_2015	phanotate	-	9276	9548	273	circular_pair_2015							
56							phanotate	-	9487	9609	123	circular_pair_2015							
57							phanotate	-	9728	9976	249	circular_pair_2015							
58							phanotate	-	9976	10065	90	circular_pair_2015							
59	glimmer	-	10066	10188	123	circular_pair_2015	phanotate	-	10066	10188	123	circular_pair_2015							
60							phanotate	-	10204	10299	96	circular_pair_2015							
61	glimmer	-	10374	10490	117	circular_pair_2015	phanotate	-	10374	10490	117	circular_pair_2015							
62							phanotate	-	10762	10929	168	circular_pair_2015							
63							phanotate	-	10940	11098	159	circular_pair_2015							
64							phanotate	-	11073	11357	285	circular_pair_2015							
65	glimmer	-	11483	11641	159	circular_pair_2015													
66							phanotate	-	11483	11680	198	circular_pair_2015	prodigal	-	11483	11680	198	circular_pair_2015	
67							phanotate	-	11748	11846	99	circular_pair_2015							
68							phanotate	+	11820	11927	108	circular_pair_2015							
69	glimmer	+	11980	12267	288	circular_pair_2015	phanotate	+	11980	12267	288	circular_pair_2015	prodigal	+	11980	12267	288	circular_pair_2015	
70							phanotate	+	12227	12346	120	circular_pair_2015							
71							phanotate	+	12417	12800	384	circular_pair_2015	prodigal	+	12417	12800	384	circular_pair_2015	
72	glimmer	+	12637	12762	126	circular_pair_2015													
73							phanotate	+	12819	13226	408	circular_pair_2015	prodigal	+	12819	13226	408	circular_pair_2015	
74	glimmer	+	12873	13226	354	circular_pair_2015													
75							phanotate	+	13312	13422	111	circular_pair_2015							
76							phanotate	+	13542	13646	105	circular_pair_2015							
77	glimmer	-	13570	13758	189	circular_pair_2015													
78							phanotate	+	13646	13735	90	circular_pair_2015							
79							phanotate	+	13819	13917	99	circular_pair_2015							
80							phanotate	+	13972	14061	90	circular_pair_2015							
81	glimmer	-	14058	14177	120	circular_pair_2015	phanotate	-	14058	14177	120	circular_pair_2015							
82	glimmer	+	14348	14470	123	circular_pair_2015	phanotate	+	14348	14470	123	circular_pair_2015							
83							phanotate	+	14514	14609	96	circular_pair_2015							
