locus_tag	ftype	length_bp	gene	EC_number	COG	product
PPKMEMJM_00001	CDS	1257				hypothetical protein
PPKMEMJM_00002	CDS	375				hypothetical protein
PPKMEMJM_00003	CDS	1782				hypothetical protein
PPKMEMJM_00004	CDS	2133				hypothetical protein
PPKMEMJM_00005	CDS	933				hypothetical protein
PPKMEMJM_00006	CDS	777				hypothetical protein
PPKMEMJM_00007	CDS	651				hypothetical protein
PPKMEMJM_00008	CDS	240				hypothetical protein
PPKMEMJM_00009	CDS	168				hypothetical protein
PPKMEMJM_00010	CDS	1350				hypothetical protein
PPKMEMJM_00011	CDS	1263				hypothetical protein
PPKMEMJM_00012	CDS	1053				hypothetical protein
PPKMEMJM_00013	CDS	516				hypothetical protein
PPKMEMJM_00014	CDS	747				hypothetical protein
PPKMEMJM_00015	CDS	345				hypothetical protein
PPKMEMJM_00016	CDS	336				hypothetical protein
