locus_tag	ftype	length_bp	gene	EC_number	COG	product
EAGCNHAK_00001	CDS	1326				hypothetical protein
EAGCNHAK_00002	CDS	303				hypothetical protein
EAGCNHAK_00003	CDS	342				hypothetical protein
EAGCNHAK_00004	CDS	399				hypothetical protein
EAGCNHAK_00005	CDS	384				hypothetical protein
EAGCNHAK_00006	CDS	681				hypothetical protein
EAGCNHAK_00007	CDS	381				hypothetical protein
EAGCNHAK_00008	CDS	4368				hypothetical protein
EAGCNHAK_00009	CDS	759				hypothetical protein
EAGCNHAK_00010	CDS	3021				hypothetical protein
EAGCNHAK_00011	CDS	192				hypothetical protein
EAGCNHAK_00012	CDS	1647				hypothetical protein
EAGCNHAK_00013	CDS	1071				hypothetical protein
EAGCNHAK_00014	CDS	480				hypothetical protein
EAGCNHAK_00015	CDS	156				hypothetical protein
EAGCNHAK_00016	CDS	420				hypothetical protein
EAGCNHAK_00017	CDS	279				hypothetical protein
EAGCNHAK_00018	CDS	348				hypothetical protein
EAGCNHAK_00019	CDS	546				hypothetical protein
EAGCNHAK_00020	CDS	300				hypothetical protein
EAGCNHAK_00021	CDS	804	soj	3.6.-.-	COG1192	Sporulation initiation inhibitor protein Soj
EAGCNHAK_00022	CDS	318				hypothetical protein
