locus_tag	ftype	length_bp	gene	EC_number	COG	product
JGPCENFL_00001	CDS	1179				hypothetical protein
JGPCENFL_00002	CDS	681				hypothetical protein
JGPCENFL_00003	CDS	1191				hypothetical protein
JGPCENFL_00004	CDS	465				hypothetical protein
JGPCENFL_00005	CDS	120				hypothetical protein
JGPCENFL_00006	CDS	381				hypothetical protein
JGPCENFL_00007	CDS	390				hypothetical protein
JGPCENFL_00008	CDS	177				hypothetical protein
JGPCENFL_00009	CDS	324				hypothetical protein
JGPCENFL_00010	CDS	306				hypothetical protein
JGPCENFL_00011	CDS	339				hypothetical protein
JGPCENFL_00012	CDS	288				hypothetical protein
JGPCENFL_00013	CDS	294				hypothetical protein
JGPCENFL_00014	CDS	417				hypothetical protein
JGPCENFL_00015	CDS	240				hypothetical protein
JGPCENFL_00016	CDS	294				hypothetical protein
JGPCENFL_00017	CDS	288				hypothetical protein
JGPCENFL_00018	CDS	339				hypothetical protein
JGPCENFL_00019	CDS	453				hypothetical protein
JGPCENFL_00020	CDS	276				hypothetical protein
JGPCENFL_00021	CDS	231				hypothetical protein
JGPCENFL_00022	CDS	390				hypothetical protein
JGPCENFL_00023	CDS	159				hypothetical protein
JGPCENFL_00024	CDS	414				hypothetical protein
