comp,mean_ident,mean_sim,cluster
contig_2511-JAAOBB010000028.1,0.676842105263158,0.773157894736842,52_0
contig_2511-JAAOBB010000145.1,0.778571428571429,0.852857142857143,52_0
contig_2511-MN855748,0.752727272727273,0.838181818181818,52_0
contig_2511-MN855751,0.676,0.768666666666667,52_0
contig_2511-MN855781,0.871111111111111,0.894814814814815,52_0
JAAOBB010000028.1-MN855748,0.855,0.91,52_0
JAAOBB010000028.1-MN855751,0.896363636363636,0.93,52_0
JAAOBB010000028.1-MN855781,0.690833333333333,0.7975,52_0
JAAOBB010000145.1-MN855748,0.806153846153846,0.87,52_0
JAAOBB010000145.1-MN855781,0.753333333333333,0.828888888888889,52_0
MN855748-MN855781,0.727777777777778,0.823333333333333,52_0
MN855751-MN855781,0.678,0.789,52_0
