comp,mean_ident,mean_sim,cluster
contig_2381-JAAOBB010000140.1,0.669,0.7305,65_0
contig_2381-MN855655,0.806111111111111,0.857222222222222,65_0
contig_2381-MN856021,0.390833333333333,0.563333333333333,65_0
contig_2381-MN856071,0.647647058823529,0.761764705882353,65_0
contig_2381-MN856102,0.850909090909091,0.861363636363636,65_0
contig_2381-scaffold_828,0.725714285714286,0.800952380952381,65_0
JAAOBB010000140.1-MN855655,0.81125,0.85125,65_0
JAAOBB010000140.1-MN856021,0.38,0.54375,65_0
JAAOBB010000140.1-MN856071,0.634285714285714,0.740714285714286,65_0
JAAOBB010000140.1-MN856102,0.745294117647059,0.814705882352941,65_0
JAAOBB010000140.1-scaffold_828,0.7264,0.7808,65_0
MN855655-MN856021,0.401666666666667,0.573333333333333,65_0
MN855655-MN856071,0.68625,0.79875,65_0
MN855655-MN856102,0.83625,0.89125,65_0
MN855655-scaffold_828,0.84,0.895,65_0
MN856021-MN856071,0.37375,0.54,65_0
MN856021-MN856102,0.375555555555556,0.543333333333333,65_0
MN856021-scaffold_828,0.371,0.528,65_0
MN856071-MN856102,0.656666666666667,0.77,65_0
MN856071-scaffold_828,0.666153846153846,0.781538461538462,65_0
MN856102-scaffold_828,0.688333333333333,0.757916666666667,65_0
