comp,mean_ident,mean_sim,cluster
contig_1921-JAAOBB010000010.1,0.768,0.8135,22_0
contig_1921-MN855645,0.832666666666667,0.865333333333333,22_0
contig_1921-MN855715,0.823571428571429,0.872857142857143,22_0
contig_1921-MN856015,0.643636363636364,0.716363636363636,22_0
contig_1921-MN856070,0.681428571428571,0.747619047619048,22_0
contig_1921-MN856103,0.747368421052632,0.796842105263158,22_0
JAAOBB010000010.1-MN855645,0.933333333333333,0.956666666666667,22_0
JAAOBB010000010.1-MN855715,0.876666666666667,0.925555555555556,22_0
JAAOBB010000010.1-MN856015,0.76,0.838181818181818,22_0
JAAOBB010000010.1-MN856070,0.745454545454545,0.831818181818182,22_0
JAAOBB010000010.1-MN856103,0.808181818181818,0.868181818181818,22_0
MN855645-MN855715,0.874615384615385,0.919230769230769,22_0
MN855645-MN856015,0.807692307692308,0.873846153846154,22_0
MN855645-MN856070,0.793333333333333,0.865,22_0
MN855645-MN856103,0.864166666666667,0.904166666666667,22_0
MN855715-MN856015,0.784615384615385,0.849230769230769,22_0
MN855715-MN856070,0.839166666666667,0.895833333333333,22_0
MN855715-MN856103,0.894166666666667,0.925,22_0
MN856015-MN856070,0.79578947368421,0.850526315789474,22_0
MN856015-MN856103,0.751333333333333,0.824,22_0
MN856070-MN856103,0.833529411764706,0.897058823529412,22_0
