comp,mean_ident,mean_sim,cluster
contig_1976-JAAOBB010000030.1,0.435,0.568214285714286,23_0
contig_1976-MN855673,0.412666666666667,0.560333333333333,23_0
contig_1976-MN855701,0.619444444444444,0.725555555555556,23_0
contig_1976-MN856069,0.433571428571429,0.563214285714286,23_0
JAAOBB010000030.1-MN855673,0.502380952380952,0.645714285714286,23_0
JAAOBB010000030.1-MN855701,0.425789473684211,0.574736842105263,23_0
JAAOBB010000030.1-MN856069,0.912173913043478,0.934782608695652,23_0
MN855673-MN855701,0.406666666666667,0.572857142857143,23_0
MN855673-MN856069,0.508333333333333,0.653333333333333,23_0
MN855701-MN856069,0.419,0.568,23_0
