comp,mean_ident,mean_sim,cluster
contig_1749-contig_2052,0.807241379310345,0.856896551724138,181_0
contig_1749-contig_2796,0.822682926829268,0.85609756097561,181_0
contig_1749-JAAOBB010000021.1,0.795333333333333,0.841333333333333,181_0
contig_1749-JAAOBB010000023.1,0.925555555555556,0.947222222222222,181_0
contig_1749-MN855962,0.903,0.932,181_0
contig_1749-MN856050,0.89375,0.92875,181_0
contig_1749-MN856062,0.748461538461538,0.796153846153846,181_0
contig_2052-contig_2796,0.83,0.864772727272727,181_0
contig_2052-JAAOBB010000021.1,0.775789473684211,0.84,181_0
contig_2052-JAAOBB010000023.1,0.859166666666667,0.914166666666667,181_0
contig_2052-MN855962,0.808571428571429,0.871428571428571,181_0
contig_2052-MN856050,0.774615384615385,0.844615384615385,181_0
contig_2052-MN856062,0.802857142857143,0.838571428571429,181_0
contig_2796-JAAOBB010000021.1,0.750526315789474,0.813684210526316,181_0
contig_2796-JAAOBB010000023.1,0.801,0.844,181_0
contig_2796-MN855962,0.817,0.859,181_0
contig_2796-MN856050,0.824615384615385,0.872307692307692,181_0
contig_2796-MN856062,0.850769230769231,0.879230769230769,181_0
JAAOBB010000021.1-JAAOBB010000023.1,0.8025,0.85875,181_0
JAAOBB010000021.1-MN855962,0.853,0.89,181_0
JAAOBB010000021.1-MN856050,0.933333333333333,0.965,181_0
JAAOBB010000021.1-MN856062,0.766666666666667,0.797777777777778,181_0
JAAOBB010000023.1-MN855962,0.904166666666667,0.940833333333333,181_0
JAAOBB010000023.1-MN856050,0.908,0.946,181_0
JAAOBB010000023.1-MN856062,0.693333333333333,0.731666666666667,181_0
MN855962-MN856050,0.948333333333333,0.966666666666667,181_0
MN855962-MN856062,0.712857142857143,0.755714285714286,181_0
MN856050-MN856062,0.771666666666667,0.818333333333333,181_0
