CGC_main says, Iterating through fileSet...
CGC_main says, Sorting gene calls for each caller...
CGC_main says, Comparing accross the call sets....
CGC_main says, Merging the gene call sets....
CGC_main says, Comparing across gene call sets....
CGC_main says, Scoring gene calls....
CGC_main says, Identifying gene calls in common...
CGC_main says, printing GFF formatted gene-call file....
CGC_main says, printing report....

GENE-CALL TABLE:

number	caller	strand	leftEnd	rightEnd	length	contig	caller	strand	leftEnd	rightEnd	length	contig	caller	strand	leftEnd	rightEnd	length	contig	
1							phanotate	+	1	93	93	scaffold_1760							
2							phanotate	+	149	271	123	scaffold_1760							
3							phanotate	+	272	379	108	scaffold_1760							
4							phanotate	+	483	728	246	scaffold_1760	prodigal	+	483	728	246	scaffold_1760	
5	glimmer	+	552	728	177	scaffold_1760													
6	glimmer	+	728	886	159	scaffold_1760							prodigal	+	728	886	159	scaffold_1760	
7							phanotate	-	822	971	150	scaffold_1760							
8							phanotate	-	995	1087	93	scaffold_1760							
9	glimmer	+	1093	1218	126	scaffold_1760	phanotate	+	1093	1218	126	scaffold_1760							
10							phanotate	+	1283	1423	141	scaffold_1760							
11							phanotate	+	1458	1595	138	scaffold_1760							
12							phanotate	-	1721	1831	111	scaffold_1760							
13	glimmer	-	1935	2291	357	scaffold_1760	phanotate	-	1935	2291	357	scaffold_1760	prodigal	-	1935	2291	357	scaffold_1760	
14	glimmer	-	2357	2497	141	scaffold_1760	phanotate	-	2357	2497	141	scaffold_1760	prodigal	-	2357	2497	141	scaffold_1760	
15							phanotate	-	2529	2627	99	scaffold_1760							
16	glimmer	-	2652	3704	1053	scaffold_1760	phanotate	-	2652	3704	1053	scaffold_1760	prodigal	-	2652	3704	1053	scaffold_1760	
17							phanotate	+	3748	3885	138	scaffold_1760							
18							phanotate	+	3895	4092	198	scaffold_1760							
19							phanotate	-	4205	4300	96	scaffold_1760							
20	glimmer	-	4311	4622	312	scaffold_1760	phanotate	-	4311	4622	312	scaffold_1760	prodigal	-	4311	4622	312	scaffold_1760	
21	glimmer	-	4635	5189	555	scaffold_1760	phanotate	-	4635	5189	555	scaffold_1760	prodigal	-	4635	5189	555	scaffold_1760	
22	glimmer	-	5189	5326	138	scaffold_1760	phanotate	-	5189	5326	138	scaffold_1760							
23	glimmer	+	5373	5588	216	scaffold_1760	phanotate	+	5373	5588	216	scaffold_1760	prodigal	+	5373	5588	216	scaffold_1760	
24							phanotate	+	5585	5722	138	scaffold_1760							
25							phanotate	+	5835	5927	93	scaffold_1760							
26	glimmer	+	6055	6495	441	scaffold_1760	phanotate	+	6055	6495	441	scaffold_1760	prodigal	+	6055	6495	441	scaffold_1760	
27							phanotate	-	6416	7075	660	scaffold_1760	prodigal	-	6416	7075	660	scaffold_1760	
28							phanotate	-	7161	7259	99	scaffold_1760							
29							phanotate	-	7311	8036	726	scaffold_1760	prodigal	-	7311	8036	726	scaffold_1760	
30	glimmer	-	7311	8045	735	scaffold_1760													
31							phanotate	-	8067	8198	132	scaffold_1760							
32	glimmer	-	8218	8466	249	scaffold_1760													
33							phanotate	-	8218	8529	312	scaffold_1760	prodigal	-	8218	8529	312	scaffold_1760	
34	glimmer	-	8526	9266	741	scaffold_1760	phanotate	-	8526	9266	741	scaffold_1760	prodigal	-	8526	9266	741	scaffold_1760	
35	glimmer	-	9263	11023	1761	scaffold_1760	phanotate	-	9263	11023	1761	scaffold_1760	prodigal	-	9263	11023	1761	scaffold_1760	
36	glimmer	-	11025	12284	1260	scaffold_1760	phanotate	-	11025	12284	1260	scaffold_1760	prodigal	-	11025	12284	1260	scaffold_1760	
37	glimmer	-	12281	12496	216	scaffold_1760	phanotate	-	12281	12496	216	scaffold_1760	prodigal	-	12281	12496	216	scaffold_1760	
38							phanotate	-	12493	12753	261	scaffold_1760	prodigal	-	12493	12753	261	scaffold_1760	
39	glimmer	-	12750	12875	126	scaffold_1760	phanotate	-	12750	12875	126	scaffold_1760							
40	glimmer	+	12850	13032	183	scaffold_1760	phanotate	+	12850	13032	183	scaffold_1760	prodigal	+	12850	13032	183	scaffold_1760	
41	glimmer	+	13053	13469	417	scaffold_1760													
42							phanotate	+	13074	13469	396	scaffold_1760	prodigal	+	13074	13469	396	scaffold_1760	
43	glimmer	-	13513	13710	198	scaffold_1760													
44													prodigal	-	13513	13836	324	scaffold_1760	
45							phanotate	-	13513	13863	351	scaffold_1760							
46	glimmer	-	13823	14119	297	scaffold_1760	phanotate	-	13823	14119	297	scaffold_1760	prodigal	-	13823	14119	297	scaffold_1760	
47	glimmer	-	14119	14814	696	scaffold_1760	phanotate	-	14119	14814	696	scaffold_1760	prodigal	-	14119	14814	696	scaffold_1760	
48	glimmer	-	14821	15072	252	scaffold_1760	phanotate	-	14821	15072	252	scaffold_1760	prodigal	-	14821	15072	252	scaffold_1760	
49							phanotate	-	15087	15260	174	scaffold_1760							
50	glimmer	-	15257	15397	141	scaffold_1760													
51	glimmer	-	15352	15756	405	scaffold_1760	phanotate	-	15352	15756	405	scaffold_1760	prodigal	-	15352	15756	405	scaffold_1760	
52	glimmer	-	15753	16148	396	scaffold_1760	phanotate	-	15753	16148	396	scaffold_1760	prodigal	-	15753	16148	396	scaffold_1760	
