#id:	circular_read_662
#START	STOP	FRAME	CONTIG	SCORE
209	90	-	circular_read_662	-1.576464061189825267905549229	
859	236	-	circular_read_662	-4513.598348451140704699501633	
1065	865	-	circular_read_662	-4.444508726998489899865142679	
1334	1215	-	circular_read_662	-1.576464061189825267905549229	
1984	1361	-	circular_read_662	-4513.598348451140704699501633	
2054	1965	-	circular_read_662	-0.7753300660357772248838225888	
2188	2060	-	circular_read_662	-3.045028015396340437997095337	
2457	2338	-	circular_read_662	-1.576464061189825267905549229	
3107	2484	-	circular_read_662	-4513.598348451140704699501633	
3177	3088	-	circular_read_662	-0.7753300660357772248838225888	
3311	3183	-	circular_read_662	-3.045028015396340437997095337	
