locus_tag	ftype	length_bp	gene	EC_number	COG	product
PONALEBK_00001	CDS	789				hypothetical protein
PONALEBK_00002	CDS	669				hypothetical protein
PONALEBK_00003	CDS	777				hypothetical protein
PONALEBK_00004	CDS	171				hypothetical protein
PONALEBK_00005	CDS	324				hypothetical protein
PONALEBK_00006	CDS	231				hypothetical protein
PONALEBK_00007	CDS	390				hypothetical protein
PONALEBK_00008	CDS	156				hypothetical protein
PONALEBK_00009	CDS	396				hypothetical protein
PONALEBK_00010	CDS	156				hypothetical protein
PONALEBK_00011	CDS	390				hypothetical protein
PONALEBK_00012	CDS	324				hypothetical protein
PONALEBK_00013	CDS	126				hypothetical protein
PONALEBK_00014	CDS	147				hypothetical protein
PONALEBK_00015	CDS	777				hypothetical protein
PONALEBK_00016	CDS	669				hypothetical protein
PONALEBK_00017	CDS	789				hypothetical protein
PONALEBK_00018	CDS	453				hypothetical protein
PONALEBK_00019	CDS	378				hypothetical protein
PONALEBK_00020	CDS	402				hypothetical protein
PONALEBK_00021	CDS	156				hypothetical protein
PONALEBK_00022	CDS	390				hypothetical protein
PONALEBK_00023	CDS	195				hypothetical protein
PONALEBK_00024	CDS	180				hypothetical protein
PONALEBK_00025	CDS	384				hypothetical protein
PONALEBK_00026	CDS	156				hypothetical protein
PONALEBK_00027	CDS	417				hypothetical protein
PONALEBK_00028	CDS	369				hypothetical protein
PONALEBK_00029	CDS	369				hypothetical protein
PONALEBK_00030	CDS	417				hypothetical protein
PONALEBK_00031	CDS	156				hypothetical protein
PONALEBK_00032	CDS	117				hypothetical protein
PONALEBK_00033	CDS	1077				hypothetical protein
PONALEBK_00034	CDS	669				hypothetical protein
PONALEBK_00035	CDS	486				hypothetical protein
PONALEBK_00036	CDS	561				hypothetical protein
PONALEBK_00037	CDS	219				hypothetical protein
PONALEBK_00038	CDS	255				hypothetical protein
PONALEBK_00039	CDS	189				hypothetical protein
PONALEBK_00040	CDS	408				hypothetical protein
PONALEBK_00041	CDS	417				hypothetical protein
PONALEBK_00042	CDS	312				hypothetical protein
PONALEBK_00043	CDS	624				hypothetical protein
PONALEBK_00044	CDS	264				hypothetical protein
PONALEBK_00045	CDS	201				hypothetical protein
PONALEBK_00046	CDS	423				hypothetical protein
PONALEBK_00047	CDS	561				hypothetical protein
PONALEBK_00048	CDS	336				hypothetical protein
PONALEBK_00049	CDS	387				hypothetical protein
PONALEBK_00050	CDS	315				hypothetical protein
PONALEBK_00051	CDS	423				hypothetical protein
PONALEBK_00052	CDS	405				hypothetical protein
PONALEBK_00053	CDS	369				hypothetical protein
PONALEBK_00054	CDS	417				hypothetical protein
PONALEBK_00055	CDS	156				hypothetical protein
PONALEBK_00056	CDS	384				hypothetical protein
PONALEBK_00057	CDS	123				hypothetical protein
PONALEBK_00058	CDS	93				hypothetical protein
PONALEBK_00059	CDS	417				hypothetical protein
PONALEBK_00060	CDS	369				hypothetical protein
PONALEBK_00061	CDS	405				hypothetical protein
PONALEBK_00062	CDS	1095				hypothetical protein
PONALEBK_00063	CDS	285				hypothetical protein
PONALEBK_00064	CDS	378				hypothetical protein
PONALEBK_00065	CDS	423				hypothetical protein
PONALEBK_00066	CDS	159				hypothetical protein
PONALEBK_00067	CDS	564				hypothetical protein
PONALEBK_00068	CDS	312				hypothetical protein
PONALEBK_00069	CDS	273				hypothetical protein
PONALEBK_00070	CDS	354				hypothetical protein
PONALEBK_00071	CDS	372				hypothetical protein
PONALEBK_00072	CDS	1089				hypothetical protein
PONALEBK_00073	CDS	249				hypothetical protein
PONALEBK_00074	CDS	2667				hypothetical protein
PONALEBK_00075	CDS	2532				hypothetical protein
PONALEBK_00076	CDS	684				hypothetical protein
PONALEBK_00077	CDS	225				hypothetical protein
PONALEBK_00078	CDS	468				hypothetical protein
PONALEBK_00079	CDS	378				hypothetical protein
PONALEBK_00080	CDS	444				hypothetical protein
PONALEBK_00081	CDS	165				hypothetical protein
PONALEBK_00082	CDS	216				hypothetical protein
