locus_tag	ftype	length_bp	gene	EC_number	COG	product
POLLLNDP_00001	CDS	507				hypothetical protein
POLLLNDP_00002	CDS	516				hypothetical protein
POLLLNDP_00003	CDS	177				hypothetical protein
POLLLNDP_00004	CDS	189				hypothetical protein
POLLLNDP_00005	CDS	216				hypothetical protein
POLLLNDP_00006	CDS	132				hypothetical protein
POLLLNDP_00007	CDS	219				hypothetical protein
POLLLNDP_00008	CDS	237				hypothetical protein
POLLLNDP_00009	CDS	219				hypothetical protein
POLLLNDP_00010	CDS	750				hypothetical protein
POLLLNDP_00011	CDS	510				hypothetical protein
POLLLNDP_00012	CDS	1053				hypothetical protein
POLLLNDP_00013	CDS	1263				hypothetical protein
POLLLNDP_00014	CDS	1338				hypothetical protein
POLLLNDP_00015	CDS	246				hypothetical protein
POLLLNDP_00016	CDS	648				hypothetical protein
POLLLNDP_00017	CDS	777				hypothetical protein
POLLLNDP_00018	CDS	933				hypothetical protein
POLLLNDP_00019	CDS	567				hypothetical protein
POLLLNDP_00020	CDS	1566				hypothetical protein
POLLLNDP_00021	CDS	243				hypothetical protein
POLLLNDP_00022	CDS	756				hypothetical protein
POLLLNDP_00023	CDS	222				hypothetical protein
POLLLNDP_00024	CDS	717				hypothetical protein
POLLLNDP_00025	CDS	375				hypothetical protein
POLLLNDP_00026	CDS	159				hypothetical protein
POLLLNDP_00027	CDS	438				hypothetical protein
POLLLNDP_00028	CDS	108				hypothetical protein
POLLLNDP_00029	CDS	246				hypothetical protein
POLLLNDP_00030	CDS	408				hypothetical protein
POLLLNDP_00031	CDS	291				hypothetical protein
POLLLNDP_00032	CDS	255				hypothetical protein
POLLLNDP_00033	CDS	147				hypothetical protein
POLLLNDP_00034	CDS	477				hypothetical protein
POLLLNDP_00035	CDS	537				hypothetical protein
POLLLNDP_00036	CDS	489				hypothetical protein
POLLLNDP_00037	CDS	426				hypothetical protein
POLLLNDP_00038	CDS	636				hypothetical protein
POLLLNDP_00039	CDS	513				hypothetical protein
POLLLNDP_00040	CDS	252				hypothetical protein
POLLLNDP_00041	CDS	375				hypothetical protein
POLLLNDP_00042	CDS	303				hypothetical protein
POLLLNDP_00043	CDS	1203				hypothetical protein
POLLLNDP_00044	CDS	282				hypothetical protein
POLLLNDP_00045	CDS	402				hypothetical protein
POLLLNDP_00046	CDS	1233				hypothetical protein
POLLLNDP_00047	CDS	309				hypothetical protein
POLLLNDP_00048	CDS	456				hypothetical protein
POLLLNDP_00049	CDS	504				hypothetical protein
POLLLNDP_00050	CDS	780				hypothetical protein
POLLLNDP_00051	CDS	651				hypothetical protein
POLLLNDP_00052	CDS	237				hypothetical protein
POLLLNDP_00053	CDS	168				hypothetical protein
POLLLNDP_00054	CDS	654				hypothetical protein
POLLLNDP_00055	CDS	138				hypothetical protein
POLLLNDP_00056	CDS	855				hypothetical protein
POLLLNDP_00057	CDS	327				hypothetical protein
POLLLNDP_00058	CDS	702				hypothetical protein
POLLLNDP_00059	CDS	297				hypothetical protein
POLLLNDP_00060	CDS	357				hypothetical protein
POLLLNDP_00061	CDS	357				hypothetical protein
POLLLNDP_00062	CDS	570				hypothetical protein
POLLLNDP_00063	CDS	483				hypothetical protein
POLLLNDP_00064	CDS	429				hypothetical protein
POLLLNDP_00065	CDS	120				hypothetical protein
POLLLNDP_00066	CDS	366				hypothetical protein
POLLLNDP_00067	CDS	513				hypothetical protein
POLLLNDP_00068	CDS	198				hypothetical protein
POLLLNDP_00069	CDS	213				hypothetical protein
POLLLNDP_00070	CDS	195				hypothetical protein
POLLLNDP_00071	CDS	252				hypothetical protein
POLLLNDP_00072	CDS	171				hypothetical protein
