locus_tag	ftype	length_bp	gene	EC_number	COG	product
LHCCBKIB_00001	CDS	357				hypothetical protein
LHCCBKIB_00002	CDS	309				hypothetical protein
LHCCBKIB_00003	CDS	456				hypothetical protein
LHCCBKIB_00004	CDS	288				hypothetical protein
LHCCBKIB_00005	CDS	555				hypothetical protein
LHCCBKIB_00006	CDS	207				hypothetical protein
LHCCBKIB_00007	CDS	276				hypothetical protein
LHCCBKIB_00008	CDS	429				hypothetical protein
LHCCBKIB_00009	CDS	987				hypothetical protein
LHCCBKIB_00010	CDS	1464				hypothetical protein
LHCCBKIB_00011	CDS	333				hypothetical protein
LHCCBKIB_00012	CDS	1782				hypothetical protein
LHCCBKIB_00013	CDS	2181				hypothetical protein
LHCCBKIB_00014	CDS	936				hypothetical protein
LHCCBKIB_00015	CDS	801				hypothetical protein
LHCCBKIB_00016	CDS	549				hypothetical protein
LHCCBKIB_00017	CDS	1413				hypothetical protein
LHCCBKIB_00018	CDS	1251				hypothetical protein
LHCCBKIB_00019	CDS	1068				hypothetical protein
LHCCBKIB_00020	CDS	423				hypothetical protein
LHCCBKIB_00021	CDS	729				hypothetical protein
LHCCBKIB_00022	CDS	390				hypothetical protein
LHCCBKIB_00023	CDS	378				hypothetical protein
