ID	START	STOP	STRAND	SCORE	METHOD	CONTIG
1_1	3	512	+	64.7	Prodigal_v2.6.3	scaffold_2752
1_2	650	2617	+	274.6	Prodigal_v2.6.3	scaffold_2752
1_3	2638	3084	+	62.6	Prodigal_v2.6.3	scaffold_2752
1_4	3087	3389	+	40.8	Prodigal_v2.6.3	scaffold_2752
1_5	3427	3885	+	68.6	Prodigal_v2.6.3	scaffold_2752
1_6	3912	4097	+	35.3	Prodigal_v2.6.3	scaffold_2752
1_7	4171	4701	+	71.0	Prodigal_v2.6.3	scaffold_2752
1_8	4824	5939	+	85.0	Prodigal_v2.6.3	scaffold_2752
1_9	5954	7453	+	207.8	Prodigal_v2.6.3	scaffold_2752
1_10	7469	8629	+	170.2	Prodigal_v2.6.3	scaffold_2752
1_11	8704	9138	+	46.9	Prodigal_v2.6.3	scaffold_2752
1_12	9128	11035	+	288.0	Prodigal_v2.6.3	scaffold_2752
1_13	11028	11774	+	52.1	Prodigal_v2.6.3	scaffold_2752
1_14	11776	12855	+	140.5	Prodigal_v2.6.3	scaffold_2752
1_15	12997	13728	+	84.1	Prodigal_v2.6.3	scaffold_2752
1_16	13790	14242	+	38.7	Prodigal_v2.6.3	scaffold_2752
1_17	14266	15219	+	101.1	Prodigal_v2.6.3	scaffold_2752
1_18	15237	15824	+	83.5	Prodigal_v2.6.3	scaffold_2752
1_19	15817	16005	+	5.9	Prodigal_v2.6.3	scaffold_2752
1_20	15981	16355	-	50.2	Prodigal_v2.6.3	scaffold_2752
1_21	16568	16756	-	5.9	Prodigal_v2.6.3	scaffold_2752
1_22	16749	17336	-	83.5	Prodigal_v2.6.3	scaffold_2752
1_23	17354	18307	-	101.1	Prodigal_v2.6.3	scaffold_2752
1_24	18331	18783	-	38.7	Prodigal_v2.6.3	scaffold_2752
1_25	18845	19468	-	57.1	Prodigal_v2.6.3	scaffold_2752
1_26	19763	20206	-	53.2	Prodigal_v2.6.3	scaffold_2752
1_27	20245	20631	-	61.1	Prodigal_v2.6.3	scaffold_2752
1_28	20647	21255	-	26.5	Prodigal_v2.6.3	scaffold_2752
1_29	21293	21727	-	22.7	Prodigal_v2.6.3	scaffold_2752
1_30	22201	22740	-	53.8	Prodigal_v2.6.3	scaffold_2752
1_31	22831	23370	+	51.3	Prodigal_v2.6.3	scaffold_2752
1_32	23844	24278	+	22.7	Prodigal_v2.6.3	scaffold_2752
1_33	24316	24924	+	26.5	Prodigal_v2.6.3	scaffold_2752
1_34	24940	25326	+	61.1	Prodigal_v2.6.3	scaffold_2752
1_35	25365	25808	+	53.2	Prodigal_v2.6.3	scaffold_2752
1_36	25976	26371	+	38.9	Prodigal_v2.6.3	scaffold_2752
1_37	26395	26868	+	31.9	Prodigal_v2.6.3	scaffold_2752
1_38	26874	27407	+	60.1	Prodigal_v2.6.3	scaffold_2752
1_39	27435	27878	+	53.2	Prodigal_v2.6.3	scaffold_2752
1_40	27885	28343	+	81.3	Prodigal_v2.6.3	scaffold_2752
1_41	28428	28994	+	62.2	Prodigal_v2.6.3	scaffold_2752
1_42	29000	29464	+	54.3	Prodigal_v2.6.3	scaffold_2752
1_43	29496	30008	+	65.2	Prodigal_v2.6.3	scaffold_2752
1_44	30016	30426	+	67.7	Prodigal_v2.6.3	scaffold_2752
1_45	30430	30522	+	7.7	Prodigal_v2.6.3	scaffold_2752
1_46	30572	30880	+	27.3	Prodigal_v2.6.3	scaffold_2752
1_47	30963	31448	+	40.2	Prodigal_v2.6.3	scaffold_2752
1_48	31519	31839	+	36.7	Prodigal_v2.6.3	scaffold_2752
1_49	31820	32353	+	83.2	Prodigal_v2.6.3	scaffold_2752
1_50	32353	33195	+	109.5	Prodigal_v2.6.3	scaffold_2752
1_51	33188	33442	+	7.3	Prodigal_v2.6.3	scaffold_2752
1_52	33504	33848	+	30.3	Prodigal_v2.6.3	scaffold_2752
1_53	33852	34046	+	15.9	Prodigal_v2.6.3	scaffold_2752
1_54	34119	34805	+	56.6	Prodigal_v2.6.3	scaffold_2752
1_55	34814	35113	+	17.8	Prodigal_v2.6.3	scaffold_2752
1_56	35220	38330	+	438.5	Prodigal_v2.6.3	scaffold_2752
1_57	38395	38994	+	95.7	Prodigal_v2.6.3	scaffold_2752
1_58	38991	40547	+	237.6	Prodigal_v2.6.3	scaffold_2752
1_59	40570	41889	+	218.4	Prodigal_v2.6.3	scaffold_2752
1_60	41886	42200	+	15.9	Prodigal_v2.6.3	scaffold_2752
1_61	42306	43028	+	84.4	Prodigal_v2.6.3	scaffold_2752
1_62	43285	43971	+	106.8	Prodigal_v2.6.3	scaffold_2752
1_63	44004	46736	+	394.5	Prodigal_v2.6.3	scaffold_2752
1_64	46753	47598	+	124.9	Prodigal_v2.6.3	scaffold_2752
1_65	47709	48683	+	121.2	Prodigal_v2.6.3	scaffold_2752
1_66	48767	49705	+	109.5	Prodigal_v2.6.3	scaffold_2752
1_67	49689	50090	+	23.3	Prodigal_v2.6.3	scaffold_2752
1_68	50080	50718	+	75.1	Prodigal_v2.6.3	scaffold_2752
1_69	50731	51606	+	106.9	Prodigal_v2.6.3	scaffold_2752
1_70	51634	52596	+	101.6	Prodigal_v2.6.3	scaffold_2752
1_71	52746	52964	+	17.2	Prodigal_v2.6.3	scaffold_2752
