CGC_main says, Iterating through fileSet...
CGC_main says, Sorting gene calls for each caller...
CGC_main says, Comparing accross the call sets....
CGC_main says, Merging the gene call sets....
CGC_main says, Comparing across gene call sets....
CGC_main says, Scoring gene calls....
CGC_main says, Identifying gene calls in common...
CGC_main says, printing GFF formatted gene-call file....
CGC_main says, printing report....

GENE-CALL TABLE:

number	caller	strand	leftEnd	rightEnd	length	contig	caller	strand	leftEnd	rightEnd	length	contig	caller	strand	leftEnd	rightEnd	length	contig	
1							phanotate	+	3	512	510	scaffold_2752	prodigal	+	3	512	510	scaffold_2752	
2	glimmer	+	99	512	414	scaffold_2752													
3	glimmer	+	650	2617	1968	scaffold_2752	phanotate	+	650	2617	1968	scaffold_2752	prodigal	+	650	2617	1968	scaffold_2752	
4	glimmer	+	2638	3084	447	scaffold_2752	phanotate	+	2638	3084	447	scaffold_2752	prodigal	+	2638	3084	447	scaffold_2752	
5	glimmer	+	3087	3389	303	scaffold_2752	phanotate	+	3087	3389	303	scaffold_2752	prodigal	+	3087	3389	303	scaffold_2752	
6	glimmer	+	3427	3885	459	scaffold_2752							prodigal	+	3427	3885	459	scaffold_2752	
7							phanotate	+	3436	3885	450	scaffold_2752							
8	glimmer	+	3912	4097	186	scaffold_2752	phanotate	+	3912	4097	186	scaffold_2752	prodigal	+	3912	4097	186	scaffold_2752	
9	glimmer	+	4171	4701	531	scaffold_2752	phanotate	+	4171	4701	531	scaffold_2752	prodigal	+	4171	4701	531	scaffold_2752	
10	glimmer	+	4824	5939	1116	scaffold_2752	phanotate	+	4824	5939	1116	scaffold_2752	prodigal	+	4824	5939	1116	scaffold_2752	
11	glimmer	+	5954	7453	1500	scaffold_2752	phanotate	+	5954	7453	1500	scaffold_2752	prodigal	+	5954	7453	1500	scaffold_2752	
12	glimmer	+	7469	8629	1161	scaffold_2752	phanotate	+	7469	8629	1161	scaffold_2752	prodigal	+	7469	8629	1161	scaffold_2752	
13	glimmer	+	8704	9138	435	scaffold_2752	phanotate	+	8704	9138	435	scaffold_2752	prodigal	+	8704	9138	435	scaffold_2752	
14	glimmer	+	9128	11035	1908	scaffold_2752	phanotate	+	9128	11035	1908	scaffold_2752	prodigal	+	9128	11035	1908	scaffold_2752	
15	glimmer	+	11028	11774	747	scaffold_2752							prodigal	+	11028	11774	747	scaffold_2752	
16							phanotate	+	11121	11774	654	scaffold_2752							
17	glimmer	+	11776	12855	1080	scaffold_2752	phanotate	+	11776	12855	1080	scaffold_2752	prodigal	+	11776	12855	1080	scaffold_2752	
18	glimmer	+	12970	13728	759	scaffold_2752													
19							phanotate	+	12997	13728	732	scaffold_2752	prodigal	+	12997	13728	732	scaffold_2752	
20	glimmer	+	13790	14242	453	scaffold_2752	phanotate	+	13790	14242	453	scaffold_2752	prodigal	+	13790	14242	453	scaffold_2752	
21	glimmer	+	14266	15219	954	scaffold_2752	phanotate	+	14266	15219	954	scaffold_2752	prodigal	+	14266	15219	954	scaffold_2752	
22	glimmer	+	15237	15824	588	scaffold_2752	phanotate	+	15237	15824	588	scaffold_2752	prodigal	+	15237	15824	588	scaffold_2752	
23	glimmer	+	15817	16005	189	scaffold_2752	phanotate	+	15817	16005	189	scaffold_2752	prodigal	+	15817	16005	189	scaffold_2752	
24	glimmer	-	15981	16355	375	scaffold_2752	phanotate	-	15981	16355	375	scaffold_2752	prodigal	-	15981	16355	375	scaffold_2752	
25							phanotate	-	16473	16586	114	scaffold_2752							
26	glimmer	-	16568	16756	189	scaffold_2752	phanotate	-	16568	16756	189	scaffold_2752	prodigal	-	16568	16756	189	scaffold_2752	
27	glimmer	-	16749	17336	588	scaffold_2752	phanotate	-	16749	17336	588	scaffold_2752	prodigal	-	16749	17336	588	scaffold_2752	
28	glimmer	-	17354	18307	954	scaffold_2752	phanotate	-	17354	18307	954	scaffold_2752	prodigal	-	17354	18307	954	scaffold_2752	
29	glimmer	-	18331	18783	453	scaffold_2752	phanotate	-	18331	18783	453	scaffold_2752	prodigal	-	18331	18783	453	scaffold_2752	
30													prodigal	-	18845	19468	624	scaffold_2752	
31							phanotate	-	18845	19474	630	scaffold_2752							
32	glimmer	-	18845	19612	768	scaffold_2752													
33							phanotate	+	19484	19609	126	scaffold_2752							
34							phanotate	-	19620	19739	120	scaffold_2752							
35	glimmer	-	19763	20206	444	scaffold_2752	phanotate	-	19763	20206	444	scaffold_2752	prodigal	-	19763	20206	444	scaffold_2752	
36	glimmer	-	20245	20631	387	scaffold_2752	phanotate	-	20245	20631	387	scaffold_2752	prodigal	-	20245	20631	387	scaffold_2752	
37	glimmer	-	20647	21255	609	scaffold_2752	phanotate	-	20647	21255	609	scaffold_2752	prodigal	-	20647	21255	609	scaffold_2752	
38	glimmer	-	21293	21727	435	scaffold_2752	phanotate	-	21293	21727	435	scaffold_2752	prodigal	-	21293	21727	435	scaffold_2752	
39							phanotate	+	21748	21849	102	scaffold_2752							
40	glimmer	-	22201	22740	540	scaffold_2752	phanotate	-	22201	22740	540	scaffold_2752	prodigal	-	22201	22740	540	scaffold_2752	
41	glimmer	+	22831	23370	540	scaffold_2752	phanotate	+	22831	23370	540	scaffold_2752	prodigal	+	22831	23370	540	scaffold_2752	
42							phanotate	-	23722	23823	102	scaffold_2752							
43	glimmer	+	23844	24278	435	scaffold_2752	phanotate	+	23844	24278	435	scaffold_2752	prodigal	+	23844	24278	435	scaffold_2752	
44	glimmer	+	24316	24924	609	scaffold_2752	phanotate	+	24316	24924	609	scaffold_2752	prodigal	+	24316	24924	609	scaffold_2752	
45	glimmer	+	24940	25326	387	scaffold_2752	phanotate	+	24940	25326	387	scaffold_2752	prodigal	+	24940	25326	387	scaffold_2752	
46	glimmer	+	25365	25808	444	scaffold_2752	phanotate	+	25365	25808	444	scaffold_2752	prodigal	+	25365	25808	444	scaffold_2752	
47	glimmer	+	25832	25945	114	scaffold_2752	phanotate	+	25832	25945	114	scaffold_2752							
48	glimmer	+	25976	26371	396	scaffold_2752	phanotate	+	25976	26371	396	scaffold_2752	prodigal	+	25976	26371	396	scaffold_2752	
49							phanotate	+	26395	26868	474	scaffold_2752	prodigal	+	26395	26868	474	scaffold_2752	
50	glimmer	+	26452	26868	417	scaffold_2752													
51	glimmer	+	26874	27407	534	scaffold_2752	phanotate	+	26874	27407	534	scaffold_2752	prodigal	+	26874	27407	534	scaffold_2752	
52	glimmer	+	27435	27878	444	scaffold_2752	phanotate	+	27435	27878	444	scaffold_2752	prodigal	+	27435	27878	444	scaffold_2752	
53	glimmer	+	27885	28343	459	scaffold_2752	phanotate	+	27885	28343	459	scaffold_2752	prodigal	+	27885	28343	459	scaffold_2752	
54	glimmer	+	28428	28994	567	scaffold_2752	phanotate	+	28428	28994	567	scaffold_2752	prodigal	+	28428	28994	567	scaffold_2752	
55	glimmer	+	29000	29464	465	scaffold_2752	phanotate	+	29000	29464	465	scaffold_2752	prodigal	+	29000	29464	465	scaffold_2752	
56	glimmer	+	29496	30008	513	scaffold_2752	phanotate	+	29496	30008	513	scaffold_2752	prodigal	+	29496	30008	513	scaffold_2752	
57	glimmer	+	30016	30426	411	scaffold_2752	phanotate	+	30016	30426	411	scaffold_2752	prodigal	+	30016	30426	411	scaffold_2752	
58							phanotate	+	30430	30522	93	scaffold_2752	prodigal	+	30430	30522	93	scaffold_2752	
59	glimmer	+	30572	30880	309	scaffold_2752	phanotate	+	30572	30880	309	scaffold_2752	prodigal	+	30572	30880	309	scaffold_2752	
60	glimmer	+	30963	31448	486	scaffold_2752	phanotate	+	30963	31448	486	scaffold_2752	prodigal	+	30963	31448	486	scaffold_2752	
61													prodigal	+	31519	31839	321	scaffold_2752	
62	glimmer	+	31543	31839	297	scaffold_2752	phanotate	+	31543	31839	297	scaffold_2752							
63	glimmer	+	31820	32353	534	scaffold_2752	phanotate	+	31820	32353	534	scaffold_2752	prodigal	+	31820	32353	534	scaffold_2752	
64	glimmer	+	32353	33195	843	scaffold_2752	phanotate	+	32353	33195	843	scaffold_2752	prodigal	+	32353	33195	843	scaffold_2752	
65	glimmer	+	33188	33442	255	scaffold_2752	phanotate	+	33188	33442	255	scaffold_2752	prodigal	+	33188	33442	255	scaffold_2752	
66	glimmer	+	33504	33848	345	scaffold_2752	phanotate	+	33504	33848	345	scaffold_2752	prodigal	+	33504	33848	345	scaffold_2752	
67	glimmer	+	33852	34046	195	scaffold_2752	phanotate	+	33852	34046	195	scaffold_2752	prodigal	+	33852	34046	195	scaffold_2752	
68	glimmer	+	34119	34805	687	scaffold_2752	phanotate	+	34119	34805	687	scaffold_2752	prodigal	+	34119	34805	687	scaffold_2752	
69	glimmer	+	34814	35113	300	scaffold_2752	phanotate	+	34814	35113	300	scaffold_2752	prodigal	+	34814	35113	300	scaffold_2752	
70	glimmer	+	35220	38330	3111	scaffold_2752	phanotate	+	35220	38330	3111	scaffold_2752	prodigal	+	35220	38330	3111	scaffold_2752	
71	glimmer	+	38395	38994	600	scaffold_2752	phanotate	+	38395	38994	600	scaffold_2752	prodigal	+	38395	38994	600	scaffold_2752	
72	glimmer	+	38991	40547	1557	scaffold_2752	phanotate	+	38991	40547	1557	scaffold_2752	prodigal	+	38991	40547	1557	scaffold_2752	
73	glimmer	+	40570	41889	1320	scaffold_2752	phanotate	+	40570	41889	1320	scaffold_2752	prodigal	+	40570	41889	1320	scaffold_2752	
74	glimmer	+	41886	42200	315	scaffold_2752	phanotate	+	41886	42200	315	scaffold_2752	prodigal	+	41886	42200	315	scaffold_2752	
75							phanotate	+	42193	42309	117	scaffold_2752							
76	glimmer	+	42306	43028	723	scaffold_2752	phanotate	+	42306	43028	723	scaffold_2752	prodigal	+	42306	43028	723	scaffold_2752	
77	glimmer	+	43240	43971	732	scaffold_2752	phanotate	+	43240	43971	732	scaffold_2752							
78													prodigal	+	43285	43971	687	scaffold_2752	
79	glimmer	+	44004	46736	2733	scaffold_2752	phanotate	+	44004	46736	2733	scaffold_2752	prodigal	+	44004	46736	2733	scaffold_2752	
80	glimmer	+	46753	47598	846	scaffold_2752	phanotate	+	46753	47598	846	scaffold_2752	prodigal	+	46753	47598	846	scaffold_2752	
81	glimmer	+	47709	48683	975	scaffold_2752	phanotate	+	47709	48683	975	scaffold_2752	prodigal	+	47709	48683	975	scaffold_2752	
82	glimmer	+	48767	49705	939	scaffold_2752	phanotate	+	48767	49705	939	scaffold_2752	prodigal	+	48767	49705	939	scaffold_2752	
83							phanotate	+	49689	50090	402	scaffold_2752	prodigal	+	49689	50090	402	scaffold_2752	
84													prodigal	+	50080	50718	639	scaffold_2752	
85	glimmer	+	50083	50718	636	scaffold_2752	phanotate	+	50083	50718	636	scaffold_2752							
86	glimmer	+	50731	51606	876	scaffold_2752	phanotate	+	50731	51606	876	scaffold_2752	prodigal	+	50731	51606	876	scaffold_2752	
87	glimmer	+	51634	52596	963	scaffold_2752	phanotate	+	51634	52596	963	scaffold_2752	prodigal	+	51634	52596	963	scaffold_2752	
88	glimmer	+	52746	52964	219	scaffold_2752	phanotate	+	52746	52964	219	scaffold_2752	prodigal	+	52746	52964	219	scaffold_2752	
89							phanotate	+	52983	53132	150	scaffold_2752							
90	glimmer	+	53145	53945	801	scaffold_2752	phanotate	+	53145	53945	801	scaffold_2752	prodigal	+	53145	53945	801	scaffold_2752	
91													prodigal	+	53920	54351	432	scaffold_2752	
92	glimmer	+	53956	54351	396	scaffold_2752	phanotate	+	53956	54351	396	scaffold_2752							
93	glimmer	+	54323	54823	501	scaffold_2752	phanotate	+	54323	54823	501	scaffold_2752	prodigal	+	54323	54823	501	scaffold_2752	
94	glimmer	+	54849	55247	399	scaffold_2752	phanotate	+	54849	55247	399	scaffold_2752	prodigal	+	54849	55247	399	scaffold_2752	
95	glimmer	+	55270	55383	114	scaffold_2752	phanotate	+	55270	55383	114	scaffold_2752	prodigal	+	55270	55383	114	scaffold_2752	
96							phanotate	+	55540	55647	108	scaffold_2752							
97	glimmer	+	55772	56527	756	scaffold_2752	phanotate	+	55772	56527	756	scaffold_2752	prodigal	+	55772	56527	756	scaffold_2752	
98	glimmer	+	56560	57348	789	scaffold_2752	phanotate	+	56560	57348	789	scaffold_2752	prodigal	+	56560	57348	789	scaffold_2752	
99	glimmer	+	57358	57681	324	scaffold_2752	phanotate	+	57358	57681	324	scaffold_2752	prodigal	+	57358	57681	324	scaffold_2752	
100	glimmer	+	57743	58246	504	scaffold_2752													
101							phanotate	+	57752	58246	495	scaffold_2752	prodigal	+	57752	58246	495	scaffold_2752	
102							phanotate	+	58268	58378	111	scaffold_2752							
103							phanotate	-	58715	58813	99	scaffold_2752							
104	glimmer	+	58946	59479	534	scaffold_2752	phanotate	+	58946	59479	534	scaffold_2752	prodigal	+	58946	59479	534	scaffold_2752	
105	glimmer	+	59562	60044	483	scaffold_2752	phanotate	+	59562	60044	483	scaffold_2752	prodigal	+	59562	60044	483	scaffold_2752	
106	glimmer	+	60115	60582	468	scaffold_2752	phanotate	+	60115	60582	468	scaffold_2752	prodigal	+	60115	60582	468	scaffold_2752	
107	glimmer	+	60659	61171	513	scaffold_2752	phanotate	+	60659	61171	513	scaffold_2752	prodigal	+	60659	61171	513	scaffold_2752	
108	glimmer	+	61280	61720	441	scaffold_2752	phanotate	+	61280	61720	441	scaffold_2752	prodigal	+	61280	61720	441	scaffold_2752	
109	glimmer	+	61806	62291	486	scaffold_2752	phanotate	+	61806	62291	486	scaffold_2752	prodigal	+	61806	62291	486	scaffold_2752	
110	glimmer	+	62421	62852	432	scaffold_2752	phanotate	+	62421	62852	432	scaffold_2752	prodigal	+	62421	62852	432	scaffold_2752	
111	glimmer	+	62909	63379	471	scaffold_2752	phanotate	+	62909	63379	471	scaffold_2752	prodigal	+	62909	63379	471	scaffold_2752	
112	glimmer	+	63450	63935	486	scaffold_2752	phanotate	+	63450	63935	486	scaffold_2752	prodigal	+	63450	63935	486	scaffold_2752	
113							phanotate	+	63963	64064	102	scaffold_2752	prodigal	+	63963	64064	102	scaffold_2752	
114							phanotate	+	64064	64351	288	scaffold_2752							
115	glimmer	-	64110	64397	288	scaffold_2752							prodigal	-	64110	64397	288	scaffold_2752	
116	glimmer	-	64468	64938	471	scaffold_2752	phanotate	-	64468	64938	471	scaffold_2752	prodigal	-	64468	64938	471	scaffold_2752	
117	glimmer	-	64995	65426	432	scaffold_2752	phanotate	-	64995	65426	432	scaffold_2752	prodigal	-	64995	65426	432	scaffold_2752	
118	glimmer	-	65556	66041	486	scaffold_2752	phanotate	-	65556	66041	486	scaffold_2752	prodigal	-	65556	66041	486	scaffold_2752	
119	glimmer	-	66127	66567	441	scaffold_2752	phanotate	-	66127	66567	441	scaffold_2752	prodigal	-	66127	66567	441	scaffold_2752	
120	glimmer	-	66676	67188	513	scaffold_2752	phanotate	-	66676	67188	513	scaffold_2752	prodigal	-	66676	67188	513	scaffold_2752	
121	glimmer	-	67265	67732	468	scaffold_2752	phanotate	-	67265	67732	468	scaffold_2752	prodigal	-	67265	67732	468	scaffold_2752	
