locus_tag	ftype	length_bp	gene	EC_number	COG	product
OEBLNCEI_00001	CDS	1278			COG1783	putative protein
OEBLNCEI_00002	CDS	2208				hypothetical protein
OEBLNCEI_00003	CDS	2064				hypothetical protein
OEBLNCEI_00004	CDS	696				hypothetical protein
OEBLNCEI_00005	CDS	396				hypothetical protein
OEBLNCEI_00006	CDS	327				hypothetical protein
OEBLNCEI_00007	CDS	462				hypothetical protein
OEBLNCEI_00008	CDS	636				hypothetical protein
OEBLNCEI_00009	CDS	423				hypothetical protein
OEBLNCEI_00010	CDS	375				hypothetical protein
OEBLNCEI_00011	CDS	3057				hypothetical protein
OEBLNCEI_00012	CDS	900				hypothetical protein
OEBLNCEI_00013	CDS	1080				hypothetical protein
OEBLNCEI_00014	CDS	639				hypothetical protein
OEBLNCEI_00015	CDS	912				hypothetical protein
OEBLNCEI_00016	CDS	330				hypothetical protein
OEBLNCEI_00017	CDS	1206				hypothetical protein
OEBLNCEI_00018	CDS	339				hypothetical protein
OEBLNCEI_00019	CDS	618				hypothetical protein
OEBLNCEI_00020	CDS	306				hypothetical protein
OEBLNCEI_00021	CDS	405				hypothetical protein
OEBLNCEI_00022	CDS	174				hypothetical protein
OEBLNCEI_00023	CDS	426				hypothetical protein
OEBLNCEI_00024	CDS	246				hypothetical protein
OEBLNCEI_00025	CDS	378				hypothetical protein
OEBLNCEI_00026	CDS	405				hypothetical protein
OEBLNCEI_00027	CDS	390				hypothetical protein
OEBLNCEI_00028	CDS	351				hypothetical protein
OEBLNCEI_00029	CDS	312				hypothetical protein
OEBLNCEI_00030	CDS	351				hypothetical protein
OEBLNCEI_00031	CDS	390				hypothetical protein
OEBLNCEI_00032	CDS	1242				hypothetical protein
OEBLNCEI_00033	CDS	228				hypothetical protein
OEBLNCEI_00034	CDS	873				hypothetical protein
OEBLNCEI_00035	CDS	624				hypothetical protein
OEBLNCEI_00036	CDS	771				hypothetical protein
OEBLNCEI_00037	CDS	534				hypothetical protein
OEBLNCEI_00038	CDS	525				hypothetical protein
OEBLNCEI_00039	CDS	675				hypothetical protein
OEBLNCEI_00040	CDS	480				hypothetical protein
OEBLNCEI_00041	CDS	549				hypothetical protein
OEBLNCEI_00042	CDS	399				hypothetical protein
