locus_tag	ftype	length_bp	gene	EC_number	COG	product
FFOMFKCM_00001	CDS	696				hypothetical protein
FFOMFKCM_00002	CDS	396				hypothetical protein
FFOMFKCM_00003	CDS	462				hypothetical protein
FFOMFKCM_00004	CDS	636				hypothetical protein
FFOMFKCM_00005	CDS	423				hypothetical protein
FFOMFKCM_00006	CDS	375				hypothetical protein
FFOMFKCM_00007	CDS	3057				hypothetical protein
FFOMFKCM_00008	CDS	900				hypothetical protein
FFOMFKCM_00009	CDS	1080				hypothetical protein
FFOMFKCM_00010	CDS	660				hypothetical protein
FFOMFKCM_00011	CDS	921				hypothetical protein
FFOMFKCM_00012	CDS	330				hypothetical protein
FFOMFKCM_00013	CDS	1206				hypothetical protein
FFOMFKCM_00014	CDS	339				hypothetical protein
FFOMFKCM_00015	CDS	615				hypothetical protein
FFOMFKCM_00016	CDS	306				hypothetical protein
FFOMFKCM_00017	CDS	405				hypothetical protein
FFOMFKCM_00018	CDS	174				hypothetical protein
FFOMFKCM_00019	CDS	426				hypothetical protein
FFOMFKCM_00020	CDS	246				hypothetical protein
FFOMFKCM_00021	CDS	378				hypothetical protein
FFOMFKCM_00022	CDS	582				hypothetical protein
FFOMFKCM_00023	CDS	360				hypothetical protein
FFOMFKCM_00024	CDS	312				hypothetical protein
