locus_tag	ftype	length_bp	gene	EC_number	COG	product
DAJNBNBG_00001	CDS	1281			COG1783	putative protein
DAJNBNBG_00002	CDS	2211				hypothetical protein
DAJNBNBG_00003	CDS	2058				hypothetical protein
DAJNBNBG_00004	CDS	696				hypothetical protein
DAJNBNBG_00005	CDS	384				hypothetical protein
DAJNBNBG_00006	CDS	327				hypothetical protein
DAJNBNBG_00007	CDS	462				hypothetical protein
DAJNBNBG_00008	CDS	612				hypothetical protein
DAJNBNBG_00009	CDS	549				hypothetical protein
DAJNBNBG_00010	CDS	375				hypothetical protein
DAJNBNBG_00011	CDS	2925				hypothetical protein
DAJNBNBG_00012	CDS	900				hypothetical protein
DAJNBNBG_00013	CDS	1062				hypothetical protein
DAJNBNBG_00014	CDS	684				hypothetical protein
DAJNBNBG_00015	CDS	951				hypothetical protein
DAJNBNBG_00016	CDS	249				hypothetical protein
DAJNBNBG_00017	CDS	1209				hypothetical protein
DAJNBNBG_00018	CDS	333				hypothetical protein
DAJNBNBG_00019	CDS	597				hypothetical protein
DAJNBNBG_00020	CDS	414				hypothetical protein
DAJNBNBG_00021	CDS	177				hypothetical protein
DAJNBNBG_00022	CDS	426				hypothetical protein
DAJNBNBG_00023	CDS	444				hypothetical protein
DAJNBNBG_00024	CDS	222				hypothetical protein
DAJNBNBG_00025	CDS	345				hypothetical protein
DAJNBNBG_00026	CDS	408				hypothetical protein
DAJNBNBG_00027	CDS	387				hypothetical protein
DAJNBNBG_00028	CDS	351				hypothetical protein
DAJNBNBG_00029	CDS	366				hypothetical protein
DAJNBNBG_00030	CDS	351				hypothetical protein
DAJNBNBG_00031	CDS	390				hypothetical protein
DAJNBNBG_00032	CDS	1242				hypothetical protein
DAJNBNBG_00033	CDS	879				hypothetical protein
DAJNBNBG_00034	CDS	615				hypothetical protein
DAJNBNBG_00035	CDS	771				hypothetical protein
DAJNBNBG_00036	CDS	528				hypothetical protein
DAJNBNBG_00037	CDS	243				hypothetical protein
DAJNBNBG_00038	CDS	594				hypothetical protein
DAJNBNBG_00039	CDS	210				hypothetical protein
DAJNBNBG_00040	CDS	501				hypothetical protein
DAJNBNBG_00041	CDS	483				hypothetical protein
DAJNBNBG_00042	CDS	546				hypothetical protein
DAJNBNBG_00043	CDS	399				hypothetical protein
