locus_tag	ftype	length_bp	gene	EC_number	COG	product
MKHBHEAG_00001	CDS	1287			COG1783	putative protein
MKHBHEAG_00002	CDS	2184				hypothetical protein
MKHBHEAG_00003	CDS	1971				hypothetical protein
MKHBHEAG_00004	CDS	696				hypothetical protein
MKHBHEAG_00005	CDS	384				hypothetical protein
MKHBHEAG_00006	CDS	339				hypothetical protein
MKHBHEAG_00007	CDS	462				hypothetical protein
MKHBHEAG_00008	CDS	612				hypothetical protein
MKHBHEAG_00009	CDS	393				hypothetical protein
MKHBHEAG_00010	CDS	354				hypothetical protein
MKHBHEAG_00011	CDS	2868				hypothetical protein
MKHBHEAG_00012	CDS	930				hypothetical protein
MKHBHEAG_00013	CDS	1107				hypothetical protein
MKHBHEAG_00014	CDS	591				hypothetical protein
MKHBHEAG_00015	CDS	945				hypothetical protein
MKHBHEAG_00016	CDS	282				hypothetical protein
MKHBHEAG_00017	CDS	1206				hypothetical protein
MKHBHEAG_00018	CDS	354				hypothetical protein
MKHBHEAG_00019	CDS	378				hypothetical protein
MKHBHEAG_00020	CDS	462				hypothetical protein
MKHBHEAG_00021	CDS	411				hypothetical protein
MKHBHEAG_00022	CDS	294				hypothetical protein
MKHBHEAG_00023	CDS	270				hypothetical protein
MKHBHEAG_00024	CDS	237				hypothetical protein
MKHBHEAG_00025	CDS	234				hypothetical protein
MKHBHEAG_00026	CDS	342				hypothetical protein
MKHBHEAG_00027	CDS	393				hypothetical protein
MKHBHEAG_00028	CDS	279				hypothetical protein
MKHBHEAG_00029	CDS	444				hypothetical protein
MKHBHEAG_00030	CDS	180				hypothetical protein
MKHBHEAG_00031	CDS	294				hypothetical protein
MKHBHEAG_00032	CDS	192				hypothetical protein
MKHBHEAG_00033	CDS	870				hypothetical protein
MKHBHEAG_00034	CDS	369				Single-stranded DNA-binding protein
MKHBHEAG_00035	CDS	381				hypothetical protein
MKHBHEAG_00036	CDS	594				hypothetical protein
MKHBHEAG_00037	CDS	300				hypothetical protein
MKHBHEAG_00038	CDS	591				hypothetical protein
MKHBHEAG_00039	CDS	297				hypothetical protein
MKHBHEAG_00040	CDS	171				hypothetical protein
MKHBHEAG_00041	CDS	378				hypothetical protein
MKHBHEAG_00042	CDS	381				hypothetical protein
MKHBHEAG_00043	CDS	303				hypothetical protein
MKHBHEAG_00044	CDS	684				hypothetical protein
MKHBHEAG_00045	CDS	306				hypothetical protein
MKHBHEAG_00046	CDS	297				hypothetical protein
MKHBHEAG_00047	CDS	261				hypothetical protein
MKHBHEAG_00048	CDS	471				hypothetical protein
MKHBHEAG_00049	CDS	342				hypothetical protein
MKHBHEAG_00050	CDS	405				hypothetical protein
MKHBHEAG_00051	CDS	423				hypothetical protein
