locus_tag	ftype	length_bp	gene	EC_number	COG	product
MGMIFLFK_00001	CDS	255				hypothetical protein
MGMIFLFK_00002	CDS	237				hypothetical protein
MGMIFLFK_00003	CDS	348				hypothetical protein
MGMIFLFK_00004	CDS	918				hypothetical protein
MGMIFLFK_00005	CDS	777				hypothetical protein
MGMIFLFK_00006	CDS	192				hypothetical protein
MGMIFLFK_00007	CDS	132				hypothetical protein
MGMIFLFK_00008	CDS	501	ssbA		COG0629	Single-stranded DNA-binding protein A
MGMIFLFK_00009	CDS	390				hypothetical protein
MGMIFLFK_00010	CDS	381				hypothetical protein
MGMIFLFK_00011	CDS	525				hypothetical protein
MGMIFLFK_00012	CDS	474				hypothetical protein
