CGC_main says, Iterating through fileSet...
CGC_main says, Sorting gene calls for each caller...
CGC_main says, Comparing accross the call sets....
CGC_main says, Merging the gene call sets....
CGC_main says, Comparing across gene call sets....
CGC_main says, Scoring gene calls....
CGC_main says, Identifying gene calls in common...
CGC_main says, printing GFF formatted gene-call file....
CGC_main says, printing report....

GENE-CALL TABLE:

number	caller	strand	leftEnd	rightEnd	length	contig	caller	strand	leftEnd	rightEnd	length	contig	caller	strand	leftEnd	rightEnd	length	contig	
1							phanotate	-	1	468	468	circular_read_198	prodigal	-	1	468	468	circular_read_198	
2							phanotate	-	573	1073	501	circular_read_198	prodigal	-	573	1073	501	circular_read_198	
3							phanotate	-	1090	1383	294	circular_read_198							
4							phanotate	-	1481	1609	129	circular_read_198	prodigal	-	1481	1609	129	circular_read_198	
5							phanotate	-	1646	1825	180	circular_read_198							
6							phanotate	-	1800	2120	321	circular_read_198	prodigal	-	1800	2120	321	circular_read_198	
7							phanotate	+	2286	2375	90	circular_read_198							
8	glimmer	-	2325	2486	162	circular_read_198													
9	glimmer	-	2498	2632	135	circular_read_198	phanotate	-	2498	2632	135	circular_read_198							
10	glimmer	+	2658	2864	207	circular_read_198	phanotate	+	2658	2864	207	circular_read_198	prodigal	+	2658	2864	207	circular_read_198	
11	glimmer	+	3001	3132	132	circular_read_198	phanotate	+	3001	3132	132	circular_read_198	prodigal	+	3001	3132	132	circular_read_198	
12							phanotate	-	3249	3542	294	circular_read_198							
13	glimmer	+	3347	3499	153	circular_read_198							prodigal	+	3347	3499	153	circular_read_198	
14	glimmer	+	3548	3661	114	circular_read_198							prodigal	+	3548	3661	114	circular_read_198	
15							phanotate	-	3691	3783	93	circular_read_198							
16	glimmer	-	3729	3845	117	circular_read_198													
17							phanotate	+	3819	3917	99	circular_read_198							
18	glimmer	+	4020	4151	132	circular_read_198	phanotate	+	4020	4151	132	circular_read_198							
19													prodigal	+	4026	4151	126	circular_read_198	
20	glimmer	+	4136	4426	291	circular_read_198							prodigal	+	4136	4426	291	circular_read_198	
21							phanotate	+	4167	4298	132	circular_read_198							
22							phanotate	+	4250	4426	177	circular_read_198							
23	glimmer	-	4467	4595	129	circular_read_198													
24							phanotate	+	4559	4648	90	circular_read_198							
25	glimmer	+	4717	4833	117	circular_read_198	phanotate	+	4717	4833	117	circular_read_198							
26							phanotate	+	4855	4953	99	circular_read_198							
27	glimmer	+	4954	5094	141	circular_read_198							prodigal	+	4954	5094	141	circular_read_198	
28							phanotate	+	5052	5156	105	circular_read_198							
29							phanotate	-	5248	5355	108	circular_read_198							
30	glimmer	-	5469	5603	135	circular_read_198	phanotate	-	5469	5603	135	circular_read_198							
31													prodigal	+	5534	5632	99	circular_read_198	
32	glimmer	+	6148	6270	123	circular_read_198	phanotate	+	6148	6270	123	circular_read_198							
33							phanotate	-	6567	6674	108	circular_read_198							
34	glimmer	+	6609	6725	117	circular_read_198													
35							phanotate	-	6736	6825	90	circular_read_198							
36	glimmer	+	6849	7004	156	circular_read_198	phanotate	+	6849	7004	156	circular_read_198	prodigal	+	6849	7004	156	circular_read_198	
37													prodigal	+	7033	7125	93	circular_read_198	
38	glimmer	+	7062	7214	153	circular_read_198													
39							phanotate	+	7077	7214	138	circular_read_198							
40	glimmer	-	7250	7387	138	circular_read_198	phanotate	-	7250	7387	138	circular_read_198							
41							phanotate	-	7378	7470	93	circular_read_198							
42	glimmer	-	7546	7722	177	circular_read_198	phanotate	-	7546	7722	177	circular_read_198							
43							phanotate	+	7789	7884	96	circular_read_198							
44	glimmer	+	7886	8062	177	circular_read_198	phanotate	+	7886	8062	177	circular_read_198	prodigal	+	7886	8062	177	circular_read_198	
45	glimmer	-	8085	8279	195	circular_read_198	phanotate	-	8085	8279	195	circular_read_198							
46	glimmer	-	8646	8762	117	circular_read_198	phanotate	-	8646	8762	117	circular_read_198							
47							phanotate	-	8896	8994	99	circular_read_198							
48	glimmer	-	8896	9018	123	circular_read_198													
49							phanotate	+	9037	9135	99	circular_read_198							
50							phanotate	+	9392	9490	99	circular_read_198							
51							phanotate	+	9540	9629	90	circular_read_198							
52	glimmer	+	9626	9874	249	circular_read_198	phanotate	+	9626	9874	249	circular_read_198	prodigal	+	9626	9874	249	circular_read_198	
53							phanotate	+	9937	10041	105	circular_read_198	prodigal	+	9937	10041	105	circular_read_198	
54	glimmer	-	9968	10120	153	circular_read_198													
55							phanotate	+	10166	10258	93	circular_read_198							
56	glimmer	+	10210	10326	117	circular_read_198													
57	glimmer	-	10316	10465	150	circular_read_198	phanotate	-	10316	10465	150	circular_read_198							
58							phanotate	-	10479	10652	174	circular_read_198							
59	glimmer	+	10583	10789	207	circular_read_198							prodigal	+	10583	10789	207	circular_read_198	
60							phanotate	+	10610	10789	180	circular_read_198							
61	glimmer	+	10743	10874	132	circular_read_198													
62							phanotate	+	10758	10874	117	circular_read_198							
63	glimmer	+	11139	11285	147	circular_read_198	phanotate	+	11139	11285	147	circular_read_198							
64													prodigal	+	11154	11285	132	circular_read_198	
65							phanotate	+	11307	11411	105	circular_read_198							
66							phanotate	+	11429	11527	99	circular_read_198							
67							phanotate	+	12006	12095	90	circular_read_198							
68							phanotate	+	12182	12271	90	circular_read_198							
69	glimmer	-	12286	12543	258	circular_read_198	phanotate	-	12286	12543	258	circular_read_198							
70							phanotate	-	12587	12682	96	circular_read_198							
71	glimmer	-	12731	12853	123	circular_read_198													
72							phanotate	-	12775	12894	120	circular_read_198							
73	glimmer	+	13050	13208	159	circular_read_198	phanotate	+	13050	13208	159	circular_read_198	prodigal	+	13050	13208	159	circular_read_198	
74							phanotate	+	13226	13315	90	circular_read_198	prodigal	+	13226	13315	90	circular_read_198	
75							phanotate	-	13456	13566	111	circular_read_198							
76	glimmer	+	13609	13722	114	circular_read_198	phanotate	+	13609	13722	114	circular_read_198							
77													prodigal	+	13630	13722	93	circular_read_198	
