locus_tag	ftype	length_bp	gene	EC_number	COG	product
CGGJGBJK_00001	CDS	366				hypothetical protein
CGGJGBJK_00002	CDS	768				hypothetical protein
CGGJGBJK_00003	CDS	420				hypothetical protein
CGGJGBJK_00004	CDS	1068				hypothetical protein
CGGJGBJK_00005	CDS	1251				hypothetical protein
CGGJGBJK_00006	CDS	1386				hypothetical protein
CGGJGBJK_00007	CDS	291				hypothetical protein
CGGJGBJK_00008	CDS	657				hypothetical protein
CGGJGBJK_00009	CDS	801				hypothetical protein
CGGJGBJK_00010	CDS	927				hypothetical protein
CGGJGBJK_00011	CDS	2175				hypothetical protein
CGGJGBJK_00012	CDS	1794				hypothetical protein
CGGJGBJK_00013	CDS	333				hypothetical protein
CGGJGBJK_00014	CDS	1461				hypothetical protein
CGGJGBJK_00015	CDS	987				hypothetical protein
CGGJGBJK_00016	CDS	429				hypothetical protein
CGGJGBJK_00017	CDS	276				hypothetical protein
CGGJGBJK_00018	CDS	207				hypothetical protein
CGGJGBJK_00019	CDS	177				hypothetical protein
CGGJGBJK_00020	CDS	183				hypothetical protein
CGGJGBJK_00021	CDS	555				hypothetical protein
CGGJGBJK_00022	CDS	288				hypothetical protein
CGGJGBJK_00023	CDS	174				hypothetical protein
CGGJGBJK_00024	CDS	309				hypothetical protein
CGGJGBJK_00025	CDS	342				hypothetical protein
CGGJGBJK_00026	CDS	384				hypothetical protein
