locus_tag	ftype	length_bp	gene	EC_number	COG	product
BODOHABN_00001	CDS	696				hypothetical protein
BODOHABN_00002	CDS	381				hypothetical protein
BODOHABN_00003	CDS	186				hypothetical protein
BODOHABN_00004	CDS	4092				hypothetical protein
BODOHABN_00005	CDS	759				hypothetical protein
BODOHABN_00006	CDS	3009				hypothetical protein
BODOHABN_00007	CDS	186				hypothetical protein
BODOHABN_00008	CDS	1851				hypothetical protein
BODOHABN_00009	CDS	1071				hypothetical protein
BODOHABN_00010	CDS	450				hypothetical protein
BODOHABN_00011	CDS	156				hypothetical protein
BODOHABN_00012	CDS	384				hypothetical protein
BODOHABN_00013	CDS	234				hypothetical protein
BODOHABN_00014	CDS	465				hypothetical protein
BODOHABN_00015	CDS	1056				hypothetical protein
BODOHABN_00016	CDS	801	soj_1	3.6.-.-	COG1192	Chromosome-partitioning ATPase Soj
BODOHABN_00017	CDS	354				hypothetical protein
BODOHABN_00018	CDS	195				hypothetical protein
BODOHABN_00019	CDS	420				hypothetical protein
BODOHABN_00020	CDS	765				hypothetical protein
BODOHABN_00021	CDS	426				hypothetical protein
BODOHABN_00022	CDS	396				hypothetical protein
BODOHABN_00023	CDS	363				hypothetical protein
BODOHABN_00024	CDS	192				hypothetical protein
BODOHABN_00025	CDS	231				hypothetical protein
BODOHABN_00026	CDS	333				hypothetical protein
BODOHABN_00027	CDS	876				hypothetical protein
BODOHABN_00028	CDS	186				hypothetical protein
BODOHABN_00029	CDS	492				hypothetical protein
BODOHABN_00030	CDS	456	ssb_1		COG0629	Single-stranded DNA-binding protein
BODOHABN_00031	CDS	510				hypothetical protein
BODOHABN_00032	CDS	483				hypothetical protein
BODOHABN_00033	CDS	438				hypothetical protein
BODOHABN_00034	CDS	738				hypothetical protein
BODOHABN_00035	CDS	333				hypothetical protein
BODOHABN_00036	CDS	231				hypothetical protein
BODOHABN_00037	CDS	192				hypothetical protein
BODOHABN_00038	CDS	363				hypothetical protein
BODOHABN_00039	CDS	363				hypothetical protein
BODOHABN_00040	CDS	192				hypothetical protein
BODOHABN_00041	CDS	231				hypothetical protein
BODOHABN_00042	CDS	333				hypothetical protein
BODOHABN_00043	CDS	957				hypothetical protein
BODOHABN_00044	CDS	456				hypothetical protein
BODOHABN_00045	CDS	510				hypothetical protein
BODOHABN_00046	CDS	456	ssb_2		COG0629	Single-stranded DNA-binding protein
BODOHABN_00047	CDS	492				hypothetical protein
BODOHABN_00048	CDS	186				hypothetical protein
BODOHABN_00049	CDS	876				hypothetical protein
BODOHABN_00050	CDS	333				hypothetical protein
BODOHABN_00051	CDS	231				hypothetical protein
BODOHABN_00052	CDS	192				hypothetical protein
BODOHABN_00053	CDS	363				hypothetical protein
BODOHABN_00054	CDS	396				hypothetical protein
BODOHABN_00055	CDS	426				hypothetical protein
BODOHABN_00056	CDS	765				hypothetical protein
BODOHABN_00057	CDS	420				hypothetical protein
BODOHABN_00058	CDS	195				hypothetical protein
BODOHABN_00059	CDS	354				hypothetical protein
BODOHABN_00060	CDS	801	soj_2	3.6.-.-	COG1192	Chromosome-partitioning ATPase Soj
BODOHABN_00061	CDS	1056				hypothetical protein
BODOHABN_00062	CDS	465				hypothetical protein
BODOHABN_00063	CDS	234				hypothetical protein
BODOHABN_00064	CDS	384				hypothetical protein
BODOHABN_00065	CDS	156				hypothetical protein
BODOHABN_00066	CDS	450				hypothetical protein
BODOHABN_00067	CDS	1071				hypothetical protein
BODOHABN_00068	CDS	1851				hypothetical protein
BODOHABN_00069	CDS	186				hypothetical protein
BODOHABN_00070	CDS	3009				hypothetical protein
BODOHABN_00071	CDS	759				hypothetical protein
BODOHABN_00072	CDS	1839				hypothetical protein
BODOHABN_00073	CDS	216				hypothetical protein
BODOHABN_00074	CDS	1920				hypothetical protein
BODOHABN_00075	CDS	186				hypothetical protein
BODOHABN_00076	CDS	381				hypothetical protein
BODOHABN_00077	CDS	696				hypothetical protein
BODOHABN_00078	CDS	582				hypothetical protein
BODOHABN_00079	CDS	2484				hypothetical protein
BODOHABN_00080	CDS	186				hypothetical protein
BODOHABN_00081	CDS	891				hypothetical protein
BODOHABN_00082	CDS	420				hypothetical protein
BODOHABN_00083	CDS	195				hypothetical protein
BODOHABN_00084	CDS	318				hypothetical protein
BODOHABN_00085	CDS	837			COG1192	putative protein
BODOHABN_00086	CDS	879				hypothetical protein
BODOHABN_00087	CDS	804				hypothetical protein
BODOHABN_00088	CDS	837			COG1192	putative protein
BODOHABN_00089	CDS	318				hypothetical protein
BODOHABN_00090	CDS	195				hypothetical protein
BODOHABN_00091	CDS	420				hypothetical protein
BODOHABN_00092	CDS	885				hypothetical protein
BODOHABN_00093	CDS	2283				hypothetical protein
BODOHABN_00094	CDS	735				hypothetical protein
